time,cont,conterr
-2.0,1.8981727520257192,0.029
-1.9999989966989777,1.8982055571958143,0.043
-1.9999979921935032,1.9475117278483087,0.178
-1.9999969888924807,1.9066036807400848,0.164
-1.9999959855914584,1.912475806187055,0.03
-1.1110353469620526,1.8988944657678046,0.021
-1.1110343436610302,1.9014204638651049,0.033
-1.1110333391555645,1.951907620641013,0.163
-1.1110323358545333,1.8943345471246267,0.086
-1.1110313325535108,1.9161499852376735,0.023
-0.22099386285851796,1.8991897122986585,0.018
-0.2209928595574957,1.8965652986910735,0.025
-0.22099185505202978,-2.0,0.131
-0.22099085175100752,1.8931535610012138,0.073
-0.22098984844998526,1.9197257487780073,0.023
-0.19824493834520052,1.8992881278089424,0.02
-0.19824393504417803,1.8970901814125907,0.028
-0.19824293053871234,1.9511531017288322,0.146
-0.19824192723769007,1.8940721057638683,0.084
-0.19824092393665893,1.913656792310468,0.021
0.20293570426533547,1.8982055571958143,0.02
0.20293670756636661,1.8971229865826853,0.028
0.20293771207183253,1.9635534560246692,0.189
0.2029387153728548,1.8943673522947218,0.087
0.20293971867387706,1.9129022733982874,0.021
0.2281449420993007,1.9001738674015023,0.02
0.2281459454003234,1.893645638552636,0.025
0.22814694990578888,1.9584030443197848,0.167
0.22814795320681114,1.8979431158350555,0.097
0.22814895650784228,1.9158219335367255,0.023
0.23295905743662537,1.9007643604632087,0.024
0.23296006073764763,1.897024571072401,0.034
0.23296106524311355,1.9553521635009674,0.182
0.2329620685441447,1.9066364859101794,0.154
0.23296307184516696,1.9131647147590458,0.022
0.26659080863796314,1.9004691139323557,0.018
0.2665918119389854,1.8933503920217825,0.022
0.2665928164444602,1.9460354951940428,0.097
0.26659381974548246,1.9012564380146308,0.086
0.2665948230465047,1.9138208181609424,0.02
0.7338211135802726,1.9018797362464324,0.029
0.7338221168813037,1.8950890660368076,0.039
0.7338231213867692,1.9544992290785026,0.16
0.7338241246877915,1.8962372469901259,0.108
0.7338251279888142,1.9128694682281924,0.022
0.7350842876367398,1.8979431158350555,0.025
0.7350852909377621,1.895974805629367,0.035
0.7350862954432276,1.957976577108552,0.196
0.7350872987442503,1.8954171177377552,0.105
0.7350883020452725,1.9162484007479579,0.027
1.0605347812765733,1.9012564380146308,0.031
1.0605357845775956,1.8949250401863331,0.038
1.060536789083061,1.9482006364203,0.22
1.0605377923840922,1.9252370173539348,0.293
1.0605387956851149,1.9058491618279039,0.028
1.0797947957327518,1.900862775973493,0.022
1.079795799033774,1.8953843125676606,0.028
1.0797968035392396,1.9508906603680738,0.177
1.0797978068402623,1.8890529147393629,0.074
1.0797988101412934,1.9125086113571497,0.024
1.0821603651576077,1.901289243184726,0.023
1.08216136845863,1.895777974608798,0.028
1.082162372964096,1.955975461732769,0.22
1.082163376265127,1.8954499229078503,0.104
1.0821643795661493,1.9135583768001836,0.025
