time,cont,conterr
-2.0,1.859768138097968,0.006
-1.9999990014862292,1.841932607172431,0.005
-1.9999980017737622,1.9867507484553157,0.166
-1.9999970032599916,1.8315497802407794,0.01
-1.9999960047462122,1.901172049175107,0.009
-0.6874031218383281,1.8600547805592713,0.006
-0.6874021233245575,1.8420918529842667,0.006
-0.6874011236120903,1.984585005414358,0.17
-0.687400125098311,1.8316771768902473,0.01
-0.6873991265845403,1.9008854067138032,0.009
-0.6562387757851953,1.8596407414485001,0.006
-0.6562377772714247,1.8421874004713676,0.005
-0.6562367775589575,1.9824511115357666,0.208
-0.6562357790451869,1.8318682718644497,0.01
-0.6562347805314075,1.9010446525256386,0.01
-0.6430929068398554,1.8599273839098034,0.006
-0.6430919083260846,1.842442193770304,0.006
-0.643090908613609,1.9804446143066436,0.174
-0.6430899100998382,1.8315816294031468,0.01
-0.6430889115860676,1.901235747499841,0.01
-0.6228011806724185,1.859736288935601,0.006
-0.6228001821586391,1.8419644563347983,0.006
-0.622799182446172,1.9747117650805786,0.135
-0.6227981839324013,1.8317408752149817,0.01
-0.6227971854186307,1.9011083508503726,0.009
-0.6216628545936072,1.859768138097968,0.006
-0.6216618560798364,1.8419007580100644,0.005
-0.6216608563673693,1.9817185808013251,0.158
-0.6216598578535988,1.832250461812854,0.01
-0.6216588593398193,1.9015542391235112,0.009
-0.6144277856199805,1.8595133447990317,0.006
-0.6144267871062097,1.841932607172431,0.006
-0.6144257873937427,1.9846168545767244,0.174
-0.6144247888799721,1.831931970189184,0.01
-0.6144237903661927,1.9015542391235112,0.009
-0.610866353102977,1.8596725906108666,0.006
-0.6108653545892062,1.8418370596853304,0.006
-0.6108643548767392,1.9778648321549142,0.153
-0.6108633563629597,1.8318045735397157,0.009
-0.6108623578491892,-1.854513026307408,0.009
-0.5785454859643682,1.8592267023377285,0.006
-0.5785444874505976,1.842442193770304,0.005
-0.5785434877381304,1.9834384355691448,0.214
-0.5785424892243511,1.832250461812854,0.01
-0.5785414907105804,1.900566915090133,0.01
-0.5534608205671112,1.8594496464742978,0.006
-0.5534598220533407,1.8420281546595327,0.005
-0.5534588223408736,1.976049429899994,0.15
-0.5534578238271028,1.8317408752149817,0.01
-0.5534568253133234,1.9009809542009046,0.01
-0.5475226435773259,1.8599910822345374,0.006
-0.5475216450635465,1.8420600038218993,0.005
-0.5475206453510795,1.975412446652653,0.138
-0.5475196468373089,1.8321549143257534,0.01
-0.5475186483235381,1.9018727307471814,0.01
-0.22948617404248495,1.8593859481495634,0.006
-0.2294851755287144,1.8415504172240267,0.006
-0.22948417581624736,1.9802216701700748,0.16
-0.22948317730247658,1.8312631377794761,0.009
-0.22948217878869714,1.9011402000127395,0.009
-0.22352342977805684,1.859736288935601,0.006
-0.22352243126428628,1.842442193770304,0.006
-0.22352143155181903,1.9781196254538504,0.171
-0.22352043303804847,1.8313905344289445,0.01
-0.22351943452426903,1.901172049175107,0.01
-0.19847537495420786,1.85995923307217,0.006
-0.19847437644043708,1.8421555513090007,0.005
-0.19847337672797005,1.9769730556086373,0.133
-0.1984723782141995,1.8318682718644497,0.01
-0.19847137970042006,1.9020638257213833,0.01
0.1971883806032877,1.859704439773234,0.006
0.19718937911705803,1.8421237021466332,0.005
0.19719037882953394,1.9790751003248617,0.148
0.19719137734330472,1.8323460092999557,0.01
0.1971923758570755,1.9010765016880051,0.009
0.20195851703898926,1.8596088922861327,0.006
0.20195951555276004,1.8421237021466332,0.005
0.20196051526522707,1.9816230333142237,0.189
0.20196151377900629,1.8317727243773492,0.01
0.20196251229277706,1.9015223899611442,0.01
0.2282728503493865,1.859863685585069,0.006
0.22827384886315727,1.841709663035862,0.005
0.2282748485756243,1.9815593349894898,0.208
0.22827584708939508,1.832091216001019,0.01
0.22827684560316586,1.901681635772979,0.009
0.23066535767464247,1.859863685585069,0.006
0.23066635618841325,1.8421874004713676,0.006
0.23066735590088916,1.9802216701700748,0.153
0.23066835441465994,1.831931970189184,0.01
0.23066935292843027,1.900694311739601,0.009
0.6311066312378477,-1.8548952162558126,0.021
0.6311076297516185,-1.8546722721192432,0.014
0.6311086294640855,-1.9000891776546276,1.44
0.6311096279778647,-1.856838015160201,0.082
0.6311106264916355,-1.8576342442193772,0.107
0.633563868147418,1.8602777246958406,0.006
0.6335648666611888,1.8420281546595327,0.005
0.6335658663736559,1.9791706478119626,0.209
0.6335668648874355,1.8318682718644497,0.01
0.6335678634012059,1.8995795910567552,0.01
