52075.325435 r 19.218 0.015
52075.326268 i 19.032 0.015
52075.327102 u 20.653 0.080
52075.327935 z 18.961 0.048
52075.328768 g 19.651 0.015
52197.134080 r 19.189 0.012
52197.134913 i 19.022 0.015
52197.135747 u 20.484 0.056
52197.136580 z 18.916 0.045
52197.137413 g 19.639 0.013
52557.171930 r 19.182 0.013
52557.172763 i 19.043 0.016
52557.173597 u 20.733 0.084
52557.174430 z 18.935 0.050
52557.175263 g 19.668 0.015
52578.068005 r 19.190 0.014
52578.068838 i 18.985 0.015
52578.069672 u 20.508 0.064
52578.070505 z 18.909 0.049
52578.071338 g 19.581 0.013
52929.098230 r 19.216 0.013
52929.099063 i 19.037 0.014
52929.099897 u 20.565 0.063
52929.100730 z 19.000 0.045
52929.101563 g 19.612 0.013
52934.078387 r 19.178 0.013
52934.079220 i 19.043 0.014
52934.080054 u 20.659 0.067
52934.080887 z 18.959 0.042
52934.081720 g 19.607 0.013
52936.074313 r 19.192 0.012
52936.075146 i 19.040 0.015
52936.075980 u 20.632 0.059
52936.076813 z 18.915 0.043
52936.077646 g 19.637 0.013
53243.259525 r 19.199 0.022
53243.260358 i 18.972 0.020
53243.261192 u 20.414 0.121
53243.262025 z 18.843 0.050
53243.262858 g 19.598 0.029
53270.138372 r 19.195 0.015
53270.139206 i 19.014 0.017
53270.140039 u 20.631 0.081
53270.140872 z 18.996 0.042
53270.141706 g 19.642 0.023
53272.188325 r 19.242 0.022
53272.189158 i 19.011 0.019
53272.189992 u 20.435 0.129
53272.190825 z 18.803 0.050
53272.191658 g 19.630 0.031
53288.115529 r 19.194 0.014
53288.116362 i 19.069 0.017
53288.117196 u 20.493 0.073
53288.118029 z 18.941 0.048
53288.118862 g 19.657 0.015
53302.111198 r 19.195 0.016
53302.112031 i 19.037 0.017
53302.112865 u 20.583 0.117
53302.113698 z 18.970 0.048
53302.114531 g 19.622 0.023
53312.066741 r 19.257 0.606
53312.067574 i 19.325 0.317
53312.068408 u 20.604 0.349
53312.069241 z 18.948 0.114
53312.070074 g 19.669 0.023
53314.067925 r 19.186 0.013
53314.068758 i 19.017 0.015
53314.069592 u 20.547 0.065
53314.070425 z 18.959 0.052
53314.071258 g 19.633 0.013
53623.162510 r 19.229 0.016
53623.163343 i 19.056 0.018
53623.164177 u 20.607 0.084
53623.165010 z 18.956 0.046
53623.165843 g 19.621 0.016
53626.148723 r 19.209 0.017
53626.149556 i 19.030 0.017
53626.150390 u 20.549 0.103
53626.151223 z 18.902 0.042
53626.152056 g 19.598 0.023
53628.133587 r 19.252 0.028
53628.134420 i 19.055 0.027
53628.135254 u 20.295 0.147
53628.136087 z 18.926 0.064
53628.136920 g 19.623 0.039
53637.135198 r 19.205 0.015
53637.136031 i 19.092 0.019
53637.136865 u 20.624 0.097
53637.137698 z 18.942 0.058
53637.138531 g 19.831 0.021
53644.127649 r 19.203 0.013
53644.128483 i 19.106 0.018
53644.129316 u 20.654 0.063
53644.130149 z 19.044 0.048
53644.130983 g 19.658 0.016
#53649.122269 r -99.000 0.085
#53649.123102 i -99.000 0.091
#53649.123936 u -99.000 0.469
#53649.124769 z -99.000 0.860
#53649.125602 g -99.000 0.088
53654.162270 r 19.172 0.016
53654.163103 i 19.004 0.018
53654.163937 u 20.665 0.109
53654.164770 z 18.907 0.050
53654.165603 g 19.627 0.021
53656.109860 r 19.291 0.028
53656.110693 i 18.999 0.025
53656.111527 u 20.474 0.162
53656.112360 z 18.796 0.057
53656.113193 g 19.617 0.038
53665.101139 r 19.199 0.046
53665.101972 i 19.015 0.038
53665.102806 u 20.350 0.197
53665.103639 z 18.857 0.216
53665.104472 g 19.570 0.036
53668.112771 r 19.277 0.021
53668.113604 i 19.165 0.027
53668.114438 u 20.719 0.120
53668.115271 z 18.999 0.093
53668.116104 g 19.686 0.021
53670.117624 r 19.260 0.016
53670.118457 i 19.054 0.020
53670.119291 u 20.678 0.100
53670.120124 z 18.988 0.073
53670.120957 g 19.691 0.016
53673.085608 r 19.237 0.014
53673.086441 i 19.045 0.017
53673.087275 u 20.586 0.074
53673.088108 z 18.816 0.051
53673.088941 g 19.724 0.016
53675.082496 r 19.265 0.015
53675.083329 i 18.998 0.017
53675.084163 u 20.472 0.075
53675.084996 z 18.953 0.055
53675.085829 g 19.652 0.014
53677.103528 r 19.202 0.013
53677.104361 i 19.160 0.016
53677.105195 u 20.495 0.061
53677.106028 z 18.990 0.044
53677.106861 g 19.611 0.015
53680.090194 r 19.168 0.012
53680.091027 i 18.993 0.014
53680.091861 u 20.589 0.067
53680.092694 z 18.886 0.039
53680.093527 g 19.604 0.013
53693.092099 r 19.209 0.016
53693.092932 i 19.014 0.017
53693.093766 u 20.500 0.084
53693.094599 z 18.923 0.049
53693.095432 g 19.626 0.021
53702.087769 r 19.530 0.628
53702.088602 i 19.222 0.241
53702.089435 u 20.557 0.133
53702.090269 z 19.232 0.118
53702.091102 g 19.862 0.489
53703.096903 r 19.273 0.022
53703.097737 i 19.102 0.023
53703.098570 u 20.482 0.092
53703.099403 z 19.010 0.070
53703.100237 g 19.812 0.031
53704.075426 r 19.234 0.014
53704.076259 i 19.058 0.016
53704.077093 u 20.656 0.088
53704.077926 z 18.941 0.048
53704.078759 g 19.650 0.016
53974.163378 r 19.194 0.014
53974.164211 i 19.044 0.017
53974.165045 u 20.541 0.061
53974.165878 z 19.005 0.042
53974.166711 g 19.628 0.013
53989.152804 r 19.225 0.016
53989.153637 i 19.054 0.016
53989.154470 u 20.535 0.068
53989.155304 z 19.013 0.039
53989.156137 g 19.643 0.020
53995.160719 r 19.216 0.012
53995.161553 i 19.009 0.015
53995.162386 u 20.560 0.053
53995.163219 z 18.931 0.035
