53625.149270 r 17.280 0.006
53625.150103 i 16.970 0.006
53625.150937 u 19.899 0.049
53625.151770 z 16.804 0.010
53625.152603 g 18.073 0.008
53636.108308 r 17.263 0.006
#53636.109141 i -99.000 0.006
53636.109975 u 19.840 0.046
53636.110808 z 16.793 0.010
53636.111641 g 18.070 0.007
53655.080312 r 17.271 0.006
53655.081145 i 16.962 0.006
53655.081979 u 19.909 0.060
53655.082812 z 16.803 0.010
53655.083645 g 18.078 0.008
53687.099040 r 17.275 0.006
53687.099873 i 16.979 0.006
53687.100707 u 19.920 0.122
53687.101540 z 16.798 0.011
53687.102373 g 18.058 0.010
53697.058668 r 17.286 0.025
#53697.059501 i -99.000 0.020
#53697.060335 u -99.000 0.580
#53697.061168 z -99.000 0.051
#53697.062001 g -99.000 0.023
53700.057632 r 17.264 0.005
53700.058465 i 16.969 0.006
53700.059299 u 20.075 0.054
53700.060132 z 16.789 0.011
53700.060965 g 18.072 0.007
53705.044302 r 17.283 0.006
53705.045135 i 16.957 0.006
53705.045969 u 19.959 0.065
53705.046802 z 16.799 0.011
53705.047635 g 18.075 0.008
53994.124732 r 17.251 0.014
53994.125565 i 16.925 0.064
53994.126398 u 19.892 0.039
53994.127232 z 16.796 0.025
53994.128065 g 18.027 0.030
53998.104643 r 17.241 0.042
53998.105476 i 16.941 0.003
53998.106309 u 19.902 0.033
53998.107143 z 16.800 0.013
53998.107976 g 18.068 0.006
#54010.090117 r -99.000 0.013
54010.090950 i 16.921 0.027
54010.091783 u 20.034 0.054
54010.092617 z 16.793 0.013
54010.093450 g 18.069 0.011
#54012.082965 r -99.000 0.007
54012.083798 i 16.961 0.008
54012.084632 u 19.892 0.079
54012.085465 z 16.791 0.015
54012.086298 g 18.073 0.013
54020.088944 r 17.246 0.009
54020.089778 i 16.918 0.003
54020.090611 u 19.916 0.037
54020.091444 z 16.815 0.013
54020.092278 g 18.045 0.013
#54022.138489 r -99.000 0.020
54022.139323 i 16.886 0.004
54022.140156 u 19.863 0.037
54022.140989 z 16.804 0.011
#54022.141823 g -99.000 0.005
54030.082500 r 17.681 0.061
#54030.083333 i -99.000 0.067
#54030.084167 u -99.000 0.256
54030.085000 z 17.706 0.129
54030.085833 g 18.997 0.119
54032.071761 r 17.287 0.004
54032.072595 i 16.906 0.007
#54032.073428 u -99.000 0.051
#54032.074261 z -99.000 0.015
#54032.075095 g -99.000 0.007
#54034.142003 r -99.000 0.011
54034.142837 i 16.917 0.009
54034.143670 u 19.833 0.059
#54034.144503 z -99.000 0.013
#54034.145337 g -99.000 0.028
54037.063743 r 17.224 0.030
54037.064576 i 16.947 0.005
54037.065409 u 19.931 0.049
#54037.066243 z -99.000 0.010
54037.067076 g 18.080 0.011
54040.078229 r 17.270 0.006
54040.079062 i 16.943 0.009
54040.079895 u 19.903 0.102
54040.080729 z 16.780 0.013
54040.081562 g 18.058 0.010
54050.062852 r 17.259 0.006
54050.063685 i 16.949 0.031
54050.064518 u 19.923 0.059
54050.065352 z 16.795 0.016
#54050.066185 g -99.000 0.035
54053.069020 r 17.253 0.010
54053.069853 i 16.954 0.022
54053.070687 u 19.946 0.060
#54053.071520 z -99.000 0.018
54053.072353 g 18.058 0.040
#54056.070689 r -99.000 0.007
#54056.071523 i -99.000 0.080
54056.072356 u 19.889 0.046
54056.073189 z 16.767 0.014
#54056.074023 g -99.000 0.066
#54061.076030 r -99.000 0.602
54061.076863 i 16.918 0.011
54061.077696 u 19.879 0.051
#54061.078530 z -99.000 0.022
#54061.079363 g -99.000 0.006
54068.059854 r 17.264 0.008
54068.060687 i 16.918 0.021
54068.061520 u 19.857 0.092
54068.062354 z 16.821 0.012
54068.063187 g 18.081 0.014
54357.108179 r 17.265 0.021
54357.109012 i 16.951 0.042
54357.109845 u 19.958 0.043
54357.110679 z 16.811 0.022
54357.111512 g 18.060 0.012
54365.106024 r 17.249 0.013
54365.106857 i 16.962 0.047
54365.107690 u 19.867 0.057
54365.108524 z 16.773 0.028
54365.109357 g 18.053 0.007
54385.155993 r 17.244 0.016
54385.156827 i 16.971 0.052
54385.157660 u 19.926 0.041
54385.158493 z 16.815 0.011
54385.159327 g 18.043 0.008
#54387.156492 r -99.000 0.081
54387.157325 i 16.933 0.044
54387.158159 u 20.096 0.068
54387.158992 z 16.807 0.014
54387.159825 g 18.072 0.018
54392.151231 r 17.262 0.004
54392.152065 i 16.944 0.012
54392.152898 u 19.894 0.060
54392.153731 z 16.805 0.010
54392.154565 g 18.052 0.018
