,mjd,mag,magerr
0,51081.342273,19.848,0.025
1,51081.343106,19.82,0.033
2,51081.343940,-99.0,0.058
3,51081.344773,19.873,0.114
4,51081.345606,20.067,0.022
5,51819.413318,19.863,0.021
6,51819.414151,19.879,0.033
7,51819.414985,20.398,0.063
8,51819.415818,19.777,0.101
9,51819.416651,20.247,0.025
10,52288.072419,19.667,0.019
11,52288.073252,19.679,0.025
12,52288.074086,20.245,0.047
13,52288.074919,19.693,0.075
14,52288.075752,20.008,0.019
15,52551.345711,19.967,0.025
16,52551.346544,19.938,0.039
17,52551.347378,-99.0,0.068
18,52551.348211,20.228,0.142
19,52551.349044,20.319,0.026
20,52558.378586,19.981,0.02
21,52558.379419,19.941,0.028
22,52558.380253,-99.0,0.058
23,52558.381086,19.929,0.078
24,52558.381919,20.367,0.021
25,52577.266092,20.04,0.023
26,52577.266925,19.993,0.031
27,52577.267759,20.7,0.069
28,52577.268592,20.135,0.11
29,52577.269425,20.388,0.023
30,52910.350048,19.64,0.017
31,52910.350881,19.649,0.024
32,52910.351715,20.022,0.045
33,52910.352548,19.663,0.074
34,52910.353381,19.902,0.017
35,52931.280254,19.669,0.017
36,52931.281087,19.691,0.025
37,52931.281921,20.079,0.045
38,52931.282754,19.564,0.068
39,52931.283587,19.943,0.018
40,52935.277216,19.685,0.02
41,52935.278049,19.711,0.031
42,52935.278883,20.1,0.05
43,52935.279716,19.824,0.107
44,52935.280549,20.019,0.021
45,52963.200291,19.709,0.016
46,52963.201124,19.676,0.021
47,52963.201958,20.116,0.04
48,52963.202791,19.716,0.065
49,52963.203624,19.987,0.016
50,52971.191207,19.704,0.018
51,52971.192040,19.645,0.024
52,52971.192874,-99.0,0.045
53,52971.193707,19.795,0.08
54,52971.194540,19.971,0.018
55,53351.122594,19.536,0.017
56,53351.123427,19.475,0.026
57,53351.124261,19.979,0.042
58,53351.125094,19.464,0.075
59,53351.125927,19.765,0.016
60,53352.171358,19.515,0.017
61,53352.172191,19.55,0.027
62,53352.173025,19.982,0.044
63,53352.173858,19.762,0.097
64,53352.174691,19.804,0.017
65,53622.379652,19.64,0.021
66,53622.380485,-99.0,0.033
67,53622.381319,-99.0,0.064
68,53622.382152,19.627,0.099
69,53622.382985,19.923,0.021
70,53634.329124,19.617,0.037
