,mjd,mag,magerr
198,53670.319970,16.83,0.011
199,53670.320803,20.404,0.028
200,53673.285456,19.079,0.014
201,53673.286289,17.482,0.006
202,53673.287123,24.647,1.274
203,53673.287956,16.641,0.009
204,53673.288789,20.344,0.027
205,53675.282343,18.969,0.013
206,53675.283176,17.478,0.007
207,53675.284010,23.191,0.636
208,53675.284843,16.621,0.009
209,53675.285676,20.274,0.025
210,53677.303374,19.143,0.015
211,53677.304207,17.492,0.006
212,53677.305041,24.35,1.228
213,53677.305874,16.661,0.009
214,53677.306707,20.439,0.026
215,53680.290041,18.997,0.013
216,53680.290874,17.429,0.006
217,53680.291708,25.108,1.223
218,53680.292541,16.652,0.009
219,53680.293374,20.413,0.026
220,53686.289474,18.886,0.024
221,53686.290307,17.624,0.009
222,53686.291141,25.429,4.066
223,53686.291974,16.68,0.011
224,53686.292807,20.158,0.064
225,53693.291935,18.947,0.016
226,53693.292768,17.436,0.007
227,53693.293602,24.606,3.535
228,53693.294435,16.609,0.009
229,53693.295268,20.723,0.073
230,53698.289324,18.943,0.013
231,53698.290157,17.457,0.006
232,53698.290991,24.899,1.446
233,53698.291824,16.631,0.009
234,53698.292657,20.908,0.042
235,53704.275256,19.203,0.019
236,53704.276089,17.588,0.007
237,53704.276923,23.505,1.173
238,53704.277756,16.69,0.01
239,53704.278589,20.41,0.032
240,53989.371309,18.955,0.346
241,53989.372142,17.452,0.08
242,53989.372976,99.992,99.999
243,53989.373809,16.629,0.043
244,53989.374642,-99.0,0.152
245,53995.385949,18.925,0.421
246,53995.386782,17.427,0.078
247,53995.387616,22.773,0.37
248,53995.388449,16.596,0.037
249,53995.389282,20.439,0.273
250,54000.346722,18.873,0.239
251,54000.347555,17.399,0.069
252,54000.348388,99.991,99.999
253,54000.349222,16.742,0.042
254,54000.350055,20.225,0.489
255,54006.293682,19.173,0.26
256,54006.294515,-99.0,1.1
257,54006.295348,27.831,99.999
258,54006.296182,-99.0,0.034
259,54006.297015,-99.0,0.38
260,54007.396928,19.018,0.365
261,54007.397761,17.4,0.066
262,54007.398594,22.219,0.395
263,54007.399428,16.61,0.04
264,54007.400261,21.46,0.443
265,54009.320677,18.849,0.211
266,54009.321510,17.401,0.059
267,54009.322344,28.832,99.999
268,54009.323177,16.612,0.029
269,54009.324010,21.886,1.267
270,54011.385169,18.949,0.368
271,54011.386003,17.406,0.08
272,54011.386836,23.257,0.56
273,54011.387669,16.595,0.033
274,54011.388503,20.292,0.528
275,54025.384177,18.848,0.221
276,54025.385010,17.433,0.062
277,54025.385844,99.99,99.999
278,54025.386677,16.679,0.033
279,54025.387510,20.468,0.575
280,54029.314597,18.911,0.359
281,54029.315430,17.412,0.073
282,54029.316263,23.812,1.184
283,54029.317097,16.642,0.04
284,54029.317930,20.392,0.285
285,54348.381941,18.83,0.24
286,54348.382774,17.381,0.057
287,54348.383607,99.991,99.999
288,54348.384441,16.587,0.031
289,54348.385274,20.65,0.799
290,54358.337707,18.933,0.246
291,54358.338540,17.545,0.073
292,54358.339374,22.673,0.705
293,54358.340207,16.632,0.032
294,54358.341040,20.821,0.736
295,54359.331798,19.51,0.257
296,54359.332631,17.556,0.105
297,54359.333465,99.993,99.999
298,54359.334298,16.641,0.043
299,54359.335131,20.597,0.404
300,54365.370778,18.971,0.313
301,54365.371612,17.402,0.07
302,54365.372445,23.74,0.946
303,54365.373278,16.612,0.041
304,54365.374112,20.519,0.561
305,54381.390374,18.946,0.247
306,54381.391208,17.462,0.067
307,54381.392041,24.615,3.119
308,54381.392874,16.602,0.035
