51819.254177 r 16.764 0.004
51819.255010 i 15.855 0.004
51819.255844 u 21.055 0.118
51819.256677 z 15.370 0.006
51819.257510 g 18.218 0.007
52172.269733 r 16.788 0.005
52172.270566 i 15.864 0.005
52172.271400 u 20.787 0.080
52172.272233 z 15.395 0.006
52172.273066 g 18.261 0.007
52558.219428 r 16.802 0.004
52558.220261 i 15.881 0.004
52558.221095 u 20.913 0.105
52558.221928 z 15.386 0.005
52558.222761 g 18.257 0.007
52576.131685 r 16.798 0.004
52576.132518 i 15.855 0.004
52576.133352 u 20.759 0.085
52576.134185 z 15.378 0.005
52576.135018 g 18.259 0.007
52577.106920 r 16.793 0.006
52577.107753 i 15.880 0.005
52577.108587 u 20.674 0.075
52577.109420 z 15.396 0.007
52577.110253 g 18.265 0.007
52930.120252 r 16.807 0.005
52930.121085 i 15.874 0.004
52930.121919 u 20.670 0.063
52930.122752 z 15.381 0.005
52930.123585 g 18.275 0.007
52931.121082 r 16.811 0.005
52931.121915 i 15.890 0.004
52931.122749 u 20.836 0.077
52931.123582 z 15.378 0.005
52931.124415 g 18.253 0.007
52935.118046 r 16.791 0.004
52935.118879 i 15.875 0.004
52935.119713 u 20.659 0.092
52935.120546 z 15.379 0.005
52935.121379 g 18.256 0.007
53313.111246 r 16.808 0.004
53313.112079 i 15.892 0.004
53313.112913 u 20.585 0.088
53313.113746 z 15.381 0.005
53313.114579 g 18.278 0.007
53622.220494 r 16.794 0.004
53622.221327 i 15.871 0.004
53622.222161 u 20.661 0.116
53622.222994 z 15.384 0.005
53622.223827 g 18.256 0.008
53625.216458 r 16.796 0.005
53625.217291 i 15.878 0.005
53625.218125 u 20.643 0.078
53625.218958 z 15.372 0.006
53625.219791 g 18.259 0.008
53634.169963 r 16.777 0.005
53634.170796 i 15.885 0.004
#53634.171630 u -99.000 0.254
53634.172463 z 15.361 0.006
53634.173296 g 18.258 0.015
53636.175495 r 16.790 0.005
53636.176328 i 15.872 0.005
53636.177162 u 20.709 0.086
53636.177995 z 15.379 0.006
53636.178828 g 18.251 0.007
53655.147500 r 16.786 0.005
53655.148333 i 15.881 0.004
53655.149167 u 20.787 0.196
53655.150000 z 15.348 0.005
53655.150833 g 18.291 0.010
53664.172459 r 16.791 0.005
53664.173292 i 15.879 0.004
53664.174126 u 20.655 0.131
53664.174959 z 15.385 0.005
53664.175792 g 18.237 0.008
53666.136058 r 16.793 0.005
53666.136891 i 15.875 0.004
53666.137725 u 20.722 0.070
53666.138558 z 15.379 0.006
53666.139391 g 18.258 0.007
53669.131697 r 16.781 0.005
53669.132530 i 15.874 0.004
53669.133364 u 20.891 0.078
53669.134197 z 15.375 0.006
53669.135030 g 18.242 0.007
53674.115935 r 16.805 0.005
53674.116768 i 15.871 0.004
53674.117602 u 20.743 0.080
53674.118435 z 15.363 0.005
53674.119268 g 18.263 0.007
53676.205433 r 16.808 0.005
53676.206266 i 15.860 0.004
53676.207100 u 21.099 0.116
53676.207933 z 15.382 0.006
53676.208766 g 18.254 0.007
53679.177313 r 16.802 0.004
53679.178146 i 15.880 0.004
53679.178980 u 20.643 0.110
53679.179813 z 15.372 0.005
53679.180646 g 18.248 0.007
53681.168825 r 16.808 0.005
53681.169658 i 15.886 0.004
53681.170492 u 20.804 0.101
53681.171325 z 15.396 0.006
53681.172158 g 18.259 0.008
53685.127869 r 16.795 0.006
53685.128702 i 15.871 0.004
53685.129536 u 20.280 0.168
53685.130369 z 15.375 0.006
53685.131202 g 18.246 0.013
53687.166218 r 16.789 0.005
53687.167051 i 15.869 0.004
53687.167885 u 20.395 0.223
53687.168718 z 15.384 0.005
53687.169551 g 18.341 0.016
53694.141760 r 16.792 0.006
#53694.142593 i -99.000 0.004
53694.143427 u 20.618 0.226
#53694.144260 z -99.000 0.006
53694.145093 g 18.236 0.012
53697.125850 r 16.837 0.022
#53697.126683 i -99.000 0.013
53697.127517 u 20.524 0.560
53697.128350 z 15.390 0.022
#53697.129183 g -99.000 0.043
53700.124810 r 16.794 0.004
53700.125643 i 15.880 0.004
53700.126477 u 20.901 0.121
53700.127310 z 15.392 0.006
53700.128143 g 18.240 0.007
53705.111480 r 16.804 0.004
53705.112313 i 15.882 0.004
53705.113147 u 20.803 0.113
53705.113980 z 15.384 0.005
53705.114813 g 18.248 0.007
53975.196479 r 16.795 0.012
53975.197312 i 15.882 0.013
53975.198145 u 20.792 0.082
53975.198979 z 15.359 0.017
53975.199812 g 18.238 0.014
53996.203194 r 16.816 0.012
53996.204028 i 15.897 0.012
53996.204861 u 20.790 0.078
53996.205694 z 15.353 0.015
53996.206528 g 18.247 0.015
53998.171841 r 16.815 0.012
53998.172674 i 15.860 0.015
53998.173508 u 20.749 0.068
53998.174341 z 15.366 0.015
53998.175174 g 18.253 0.011
54010.157309 r 16.802 0.010
54010.158142 i 15.862 0.014
54010.158975 u 20.816 0.126
54010.159809 z 15.353 0.016
54010.160642 g 18.224 0.014
54012.150179 r 16.789 0.015
54012.151012 i 15.891 0.013
54012.151845 u 20.465 0.155
#54012.152679 z -99.000 0.013
54012.153512 g 18.256 0.015
54020.156145 r 16.791 0.009
54020.156979 i 15.882 0.010
54020.157812 u 20.711 0.072
54020.158645 z 15.376 0.014
54020.159479 g 18.243 0.013
54022.205445 r 16.806 0.010
54022.206279 i 15.885 0.013
54022.207112 u 20.771 0.097
54022.207945 z 15.374 0.018
54022.208779 g 18.224 0.013
54028.146514 r 16.789 0.012
54028.147348 i 15.871 0.012
54028.148181 u 20.715 0.115
54028.149014 z 15.352 0.018
54028.149848 g 18.215 0.015
54030.149694 r 16.791 0.007
54030.150527 i 15.849 0.008
54030.151361 u 20.693 0.068
54030.152194 z 15.362 0.013
54030.153027 g 18.249 0.013
54032.139080 r 16.820 0.011
#54032.139914 i -99.000 0.011
54032.140747 u 20.970 0.158
#54032.141580 z -99.000 0.016
54032.142414 g 18.264 0.013
54034.209223 r 16.795 0.010
54034.210056 i 15.878 0.011
54034.210889 u 20.760 0.144
54034.211723 z 15.382 0.015
54034.212556 g 18.234 0.014
54037.130931 r 16.812 0.010
54037.131764 i 15.858 0.014
54037.132598 u 21.024 0.105
54037.133431 z 15.368 0.011
54037.134264 g 18.228 0.015
54040.145430 r 16.790 0.011
54040.146264 i 15.891 0.013
54040.147097 u 20.606 0.155
54040.147930 z 15.374 0.011
54040.148764 g 18.238 0.018
54050.130046 r 16.801 0.014
54050.130880 i 15.847 0.017
54050.131713 u 20.773 0.108
54050.132546 z 15.378 0.015
54050.133380 g 18.267 0.016
54053.136195 r 16.792 0.010
54053.137028 i 15.885 0.009
54053.137861 u 20.792 0.099
54053.138695 z 15.384 0.013
54053.139528 g 18.223 0.012
54056.137900 r 17.152 0.024
54056.138733 i 16.217 0.021
54056.139567 u 22.503 0.921
54056.140400 z 15.706 0.026
54056.141233 g 18.658 0.029
54057.106544 r 16.791 0.012
54057.107377 i 15.879 0.016
54057.108211 u 20.707 0.077
54057.109044 z 15.369 0.014
54057.109877 g 18.240 0.014
54059.132158 r 16.784 0.011
54059.132991 i 15.873 0.013
54059.133825 u 20.637 0.098
54059.134658 z 15.352 0.013
54059.135491 g 18.189 0.021
54061.143430 r 16.803 0.021
54061.144263 i 15.873 0.022
54061.145097 u 20.592 0.107
54061.145930 z 15.408 0.024
54061.146763 g 18.248 0.013
54062.137055 r 16.771 0.017
54062.137889 i 15.865 0.010
54062.138722 u 20.561 0.128
54062.139555 z 15.393 0.021
54062.140389 g 18.213 0.019
54068.127040 r 16.803 0.026
54068.127873 i 15.824 0.053
54068.128706 u 19.725 0.160
54068.129540 z 15.387 0.013
54068.130373 g 18.216 0.030
54357.175352 r 16.790 0.021
54357.176185 i 15.901 0.014
54357.177018 u 20.657 0.071
54357.177852 z 15.413 0.016
54357.178685 g 18.249 0.014
54365.173208 r 16.810 0.018
54365.174041 i 15.908 0.013
54365.174875 u 20.520 0.133
54365.175708 z 15.407 0.016
54365.176541 g 18.225 0.013
54385.223178 r 16.808 0.012
54385.224011 i 15.873 0.019
54385.224844 u 20.976 0.122
54385.225678 z 15.385 0.022
54385.226511 g 18.256 0.018
54387.223681 r 16.787 0.011
54387.224514 i 15.887 0.012
54387.225348 u 20.603 0.098
54387.226181 z 15.362 0.014
54387.227014 g 18.234 0.013
#54392.218416 r -99.000 0.069
54392.219249 i 15.868 0.014
#54392.220082 u -99.000 0.168
54392.220916 z 15.389 0.019
54392.221749 g 18.256 0.028
54402.216921 r 16.787 0.015
54402.217754 i 15.885 0.013
54402.218587 u 20.735 0.226
54402.219421 z 15.396 0.015
54402.220254 g 18.200 0.018
