,mjd,mag,magerr
0,51075.354022,17.117,0.005
1,51075.354855,15.835,0.004
2,51075.355689,20.948,0.09
3,51075.356522,15.161,0.005
4,51075.357355,18.505,0.007
5,52196.373257,17.122,0.005
6,52196.374090,15.858,0.004
7,52196.374924,20.997,0.11
8,52196.375757,15.183,0.005
9,52196.376590,18.542,0.008
10,52197.367617,17.128,0.005
11,52197.368450,15.865,0.004
12,52197.369284,-99.0,0.1
13,52197.370117,15.165,0.005
14,52197.370950,18.534,0.008
15,52207.340023,17.124,0.005
16,52207.340856,15.854,0.005
17,52207.341690,21.254,0.119
18,52207.342523,15.168,0.006
19,52207.343356,18.535,0.008
20,52225.217820,17.123,0.005
21,52225.218653,15.852,0.004
22,52225.219487,21.006,0.087
23,52225.220320,15.19,0.005
24,52225.221153,18.533,0.008
25,52231.253602,17.121,0.005
26,52231.254435,15.847,0.004
27,52231.255269,20.997,0.09
28,52231.256102,15.175,0.006
29,52231.256935,18.408,0.008
30,52234.224692,17.119,0.005
31,52234.225525,15.842,0.004
32,52234.226359,20.936,0.103
33,52234.227192,15.179,0.005
34,52234.228025,18.535,0.008
35,52557.361601,17.125,0.005
36,52557.362434,15.853,0.004
37,52557.363268,20.821,0.097
38,52557.364101,15.185,0.005
39,52557.364934,18.548,0.008
40,52578.257689,17.13,0.005
41,52578.258522,15.86,0.004
42,52578.259356,20.981,0.079
43,52578.260189,15.185,0.005
44,52578.261022,18.542,0.007
45,52908.336169,17.129,0.007
46,52908.337002,15.869,0.006
47,52908.337836,20.975,0.094
48,52908.338669,15.171,0.007
49,52908.339502,18.555,0.01
50,52934.268073,17.119,0.005
51,52934.268906,15.855,0.004
52,52934.269740,21.076,0.112
53,52934.270573,15.156,0.005
54,52934.271406,18.549,0.008
55,52936.263998,17.112,0.005
56,52936.264831,15.852,0.004
57,52936.265665,21.112,0.1
58,52936.266498,15.196,0.005
59,52936.267331,18.546,0.008
60,53270.328059,17.121,0.013
61,53270.328893,15.883,0.021
62,53270.329726,-99.0,0.118
63,53270.330559,15.195,0.017
64,53270.331393,18.534,0.017
65,53272.378000,17.118,0.005
66,53272.378833,15.863,0.004
67,53272.379667,21.03,0.104
68,53272.380500,15.175,0.005
69,53272.381333,18.568,0.008
