51819.228862 r 17.583 0.006
51819.229695 i 17.422 0.006
51819.230529 u 19.141 0.030
51819.231362 z 17.369 0.014
51819.232195 g 18.002 0.006
52197.143752 r 17.591 0.006
52197.144585 i 17.431 0.007
52197.145419 u 19.067 0.021
52197.146252 z 17.367 0.014
52197.147085 g 17.992 0.006
52557.181597 r 17.591 0.006
52557.182430 i 17.454 0.007
52557.183264 u 19.068 0.025
52557.184097 z 17.430 0.017
52557.184930 g 18.006 0.006
52578.077674 r 17.598 0.006
52578.078507 i 17.464 0.007
52578.079341 u 19.180 0.029
#52578.080174 z -99.000 0.019
#52578.081007 g -99.000 0.006
52929.107900 r 17.597 0.006
52929.108733 i 17.437 0.006
52929.109567 u 19.092 0.022
52929.110400 z 17.383 0.014
52929.111233 g 18.009 0.006
52934.088057 r 17.599 0.006
52934.088890 i 17.446 0.006
52934.089724 u 19.147 0.025
52934.090557 z 17.379 0.015
52934.091390 g 17.977 0.006
52936.083983 r 17.597 0.006
52936.084816 i 17.426 0.007
52936.085650 u 19.146 0.022
52936.086483 z 17.384 0.014
52936.087316 g 17.992 0.006
53243.269193 r 17.591 0.007
53243.270026 i 17.443 0.007
53243.270860 u 19.106 0.036
53243.271693 z 17.368 0.015
53243.272526 g 18.004 0.008
53270.148043 r 17.586 0.014
53270.148876 i 17.435 0.014
53270.149710 u 19.045 0.030
53270.150543 z 17.355 0.023
53270.151376 g 18.014 0.016
53272.197994 r 17.588 0.007
53272.198827 i 17.420 0.007
53272.199661 u 19.135 0.045
53272.200494 z 17.393 0.015
53272.201327 g 18.000 0.010
53288.125195 r 17.602 0.006
53288.126028 i 17.454 0.006
53288.126862 u 19.117 0.026
53288.127695 z 17.392 0.015
53288.128528 g 18.024 0.006
53302.120866 r 17.590 0.007
53302.121699 i 17.448 0.007
53302.122533 u 19.118 0.038
53302.123366 z 17.398 0.015
53302.124199 g 18.008 0.008
53312.076395 r 17.604 0.010
53312.077229 i 17.442 0.011
53312.078062 u 19.080 0.023
53312.078895 z 17.419 0.025
53312.079729 g 17.991 0.012
53314.077592 r 17.588 0.006
53314.078425 i 17.446 0.007
53314.079259 u 19.088 0.024
53314.080092 z 17.392 0.016
53314.080925 g 18.002 0.006
53623.172176 r 17.596 0.006
53623.173009 i 17.439 0.007
53623.173843 u 19.102 0.025
53623.174676 z 17.409 0.014
53623.175509 g 18.001 0.007
53626.158388 r 17.597 0.007
53626.159221 i 17.445 0.007
53626.160055 u 19.108 0.033
53626.160888 z 17.388 0.015
53626.161721 g 18.002 0.008
53628.143253 r 17.591 0.008
