,mjd,mag,magerr
0,51075.362170,20.099,0.024
1,51075.363003,20.05,0.034
2,51075.363837,20.711,0.071
3,51075.364670,20.091,0.139
4,51075.365503,20.151,0.02
5,52170.382846,20.034,0.021
6,52170.383679,20.002,0.028
7,52170.384513,20.827,0.086
8,52170.385346,19.802,0.091
9,52170.386179,20.105,0.018
10,52196.381380,20.071,0.025
11,52196.382213,19.957,0.029
12,52196.383047,20.89,0.104
13,52196.383880,19.813,0.103
14,52196.384713,20.117,0.021
15,52207.348129,20.013,0.022
16,52207.348962,19.979,0.026
17,52207.349796,20.772,0.092
18,52207.350629,19.973,0.099
19,52207.351462,20.102,0.019
20,52225.225971,20.012,0.022
21,52225.226804,20.002,0.026
22,52225.227638,20.72,0.079
23,52225.228471,19.976,0.097
24,52225.229304,20.094,0.018
25,52231.261754,19.994,0.021
26,52231.262587,20.028,0.026
27,52231.263421,20.772,0.083
28,52231.264254,19.778,0.078
29,52231.265087,20.091,0.018
30,52234.232843,20.038,0.023
31,52234.233676,20.002,0.026
32,52234.234510,20.708,0.082
33,52234.235343,19.855,0.077
34,52234.236176,20.07,0.019
35,52282.122827,20.169,0.03
36,52282.123660,20.109,0.034
37,52282.124494,21.057,0.112
38,52282.125327,19.989,0.115
39,52282.126160,20.232,0.022
40,52287.076691,20.122,0.027
41,52287.077524,20.106,0.033
42,52287.078358,20.955,0.102
43,52287.079191,20.049,0.102
44,52287.080024,20.225,0.022
45,52552.395395,20.2,0.025
46,52552.396228,20.232,0.035
47,52552.397062,21.008,0.106
48,52552.397895,20.032,0.102
49,52552.398728,20.283,0.021
50,52557.369754,20.226,0.03
51,52557.370587,20.229,0.038
52,52557.371421,20.98,0.116
53,52557.372254,19.914,0.117
54,52557.373087,20.278,0.023
55,52578.265839,20.243,0.026
56,52578.266672,20.218,0.032
57,52578.267506,21.02,0.094
58,52578.268339,20.269,0.129
59,52578.269172,20.298,0.021
60,52908.344319,20.405,0.03
61,52908.345152,20.392,0.04
62,52908.345986,21.076,0.112
63,52908.346819,19.984,0.099
64,52908.347652,20.461,0.023
65,52912.323757,20.366,0.03
66,52912.324590,20.357,0.036
67,52912.325424,21.239,0.137
68,52912.326257,20.23,0.124
69,52912.327090,20.427,0.025
70,52934.276223,20.452,0.036
71,52934.277056,20.382,0.045
72,52934.277890,21.41,0.161
73,52934.278723,20.077,0.146
74,52934.279556,20.495,0.026
75,52936.272149,20.402,0.029
76,52936.272982,20.3,0.035
77,52936.273816,21.098,0.107
78,52936.274649,20.153,0.114
79,52936.275482,20.498,0.024
80,53270.336302,-99.0,0.108
81,53270.337135,-99.0,0.115
82,53270.337969,-99.0,0.293
83,53270.338802,-99.0,0.353
84,53270.339635,-99.0,0.08
85,53272.386149,20.273,0.03
86,53272.386982,20.314,0.042
87,53272.387816,21.054,0.139
88,53272.388649,19.956,0.107
89,53272.389482,20.34,0.025
90,53286.354869,20.301,0.03
91,53286.355702,20.321,0.032
92,53286.356536,20.833,0.106
93,53286.357369,20.117,0.111
94,53286.358202,20.369,0.026
95,53288.313361,20.304,0.027
96,53288.314194,20.251,0.032
97,53288.315028,21.136,0.128
98,53288.315861,20.299,0.125
99,53288.316694,20.306,0.021
100,53294.361035,20.297,0.032
101,53294.361868,20.295,0.045
102,53294.362702,20.965,0.13
103,53294.363535,-99.0,0.122
104,53294.364368,20.295,0.025
105,53296.308052,20.305,0.042
106,53296.308886,-99.0,0.094
107,53296.309719,21.214,0.219
108,53296.310552,19.757,0.111
109,53296.311386,20.34,0.029
110,53298.357812,20.245,0.033
111,53298.358645,20.298,0.045
112,53298.359479,20.987,0.127
113,53298.360312,20.16,0.167
114,53298.361145,20.337,0.027
115,53302.309028,20.307,0.044
116,53302.309861,20.269,0.044
117,53302.310695,20.988,0.194
118,53302.311528,20.134,0.129
119,53302.312361,20.375,0.055
120,53312.264564,20.225,0.04
121,53312.265398,20.321,0.054
122,53312.266231,20.821,0.157
123,53312.267064,19.89,0.14
124,53312.267898,20.307,0.042
125,53314.265758,20.253,0.031
126,53314.266591,20.257,0.039
127,53314.267425,21.054,0.122
128,53314.268258,20.181,0.14
129,53314.269091,20.275,0.025
130,53319.253556,20.285,0.041
131,53319.254389,20.318,0.056
132,53319.255223,21.189,0.175
133,53319.256056,20.288,0.189
134,53319.256889,20.237,0.027
135,53616.370116,20.395,0.041
136,53616.370949,20.335,0.054
137,53616.371783,20.977,0.157
138,53616.372616,19.985,0.141
139,53616.373449,20.441,0.027
140,53626.346542,-99.0,0.085
141,53626.347375,-99.0,0.079
142,53626.348209,21.086,0.162
143,53626.349042,20.578,0.19
144,53626.349875,20.408,0.028
145,53628.331407,20.316,0.049
146,53628.332240,20.276,0.049
147,53628.333074,21.114,0.244
148,53628.333907,19.972,0.117
149,53628.334740,20.314,0.051
150,53637.333026,20.325,0.044
151,53637.333859,20.264,0.047
152,53637.334693,21.835,0.453
153,53637.335526,19.966,0.125
154,53637.336359,20.375,0.041
155,53641.377569,20.339,0.026
156,53641.378402,20.3,0.031
157,53641.379236,21.1,0.115
158,53641.380069,20.155,0.099
159,53641.380902,20.361,0.023
160,53654.360094,20.382,0.031
161,53654.360927,20.346,0.039
162,53654.361761,21.129,0.124
163,53654.362594,20.203,0.148
164,53654.363427,20.417,0.023
165,53663.320999,20.336,0.042
166,53663.321832,20.3,0.044
167,53663.322666,20.922,0.2
168,53663.323499,20.121,0.115
169,53663.324332,20.393,0.052
170,53666.391094,20.31,0.039
171,53666.391927,20.264,0.04
172,53666.392761,21.124,0.249
173,53666.393594,20.106,0.124
174,53666.394427,20.38,0.043
175,53668.310600,20.305,0.037
176,53668.311433,20.344,0.055
177,53668.312267,20.947,0.165
178,53668.313100,20.046,0.154
179,53668.313933,20.363,0.036
180,53670.315453,20.324,0.036
181,53670.316286,20.313,0.049
182,53670.317120,21.013,0.129
183,53670.317953,19.996,0.113
184,53670.318786,20.36,0.026
185,53673.283439,20.326,0.03
186,53673.284272,20.334,0.036
187,53673.285106,21.171,0.13
188,53673.285939,20.103,0.097
189,53673.286772,20.344,0.021
190,53675.280326,20.291,0.029
191,53675.281159,20.394,0.04
192,53675.281993,21.299,0.124
193,53675.282826,20.09,0.111
194,53675.283659,20.364,0.022
195,53677.301357,20.32,0.026
196,53677.302190,20.323,0.033
197,53677.303024,21.05,0.115
198,53677.303857,20.084,0.092
199,53677.304690,20.366,0.022
200,53680.288023,20.328,0.029
201,53680.288856,20.36,0.032
202,53680.289690,21.281,0.129
203,53680.290523,20.098,0.095
204,53680.291356,20.409,0.024
205,53693.289918,20.202,0.043
206,53693.290751,20.309,0.052
207,53693.291585,21.058,0.287
208,53693.292418,20.166,0.136
209,53693.293251,20.242,0.05
210,53698.287307,20.329,0.029
211,53698.288140,20.405,0.039
212,53698.288974,21.103,0.131
213,53698.289807,20.088,0.108
214,53698.290640,20.382,0.024
215,53704.273239,20.233,0.038
216,53704.274072,20.169,0.045
217,53704.274906,21.129,0.183
218,53704.275739,19.971,0.16
219,53704.276572,20.326,0.026
220,53989.369338,20.357,0.054
221,53989.370171,20.491,0.059
222,53989.371005,-99.0,0.326
223,53989.371838,20.169,0.131
224,53989.372671,20.389,0.065
225,53995.383913,20.387,0.027
226,53995.384746,20.414,0.031
227,53995.385579,20.998,0.08
228,53995.386413,20.439,0.107
229,53995.387246,20.395,0.022
230,54000.344732,20.443,0.032
231,54000.345566,20.439,0.041
232,54000.346399,20.952,0.109
233,54000.347232,19.934,0.124
234,54000.348066,20.418,0.029
235,54007.394853,20.454,0.042
236,54007.395686,20.384,0.049
237,54007.396520,20.91,0.11
238,54007.397353,20.49,0.162
239,54007.398186,20.447,0.034
240,54009.318649,20.406,0.028
241,54009.319482,20.392,0.031
242,54009.320315,21.228,0.111
243,54009.321149,20.286,0.106
244,54009.321982,20.475,0.027
245,54011.383126,20.464,0.024
246,54011.383960,20.355,0.03
247,54011.384793,21.001,0.082
248,54011.385626,20.217,0.083
249,54011.386460,20.493,0.026
250,54025.382136,20.453,0.037
251,54025.382970,20.388,0.065
252,54025.383803,21.007,0.127
253,54025.384636,20.227,0.158
254,54025.385470,20.423,0.026
255,54029.312481,20.394,0.032
256,54029.313314,20.436,0.042
257,54029.314147,21.275,0.121
258,54029.314981,20.426,0.154
259,54029.315814,20.41,0.022
260,54348.379863,20.668,0.042
261,54348.380696,20.69,0.056
262,54348.381530,21.339,0.182
263,54348.382363,20.356,0.127
264,54348.383196,20.745,0.037
265,54358.335709,20.604,0.04
266,54358.336542,20.7,0.06
267,54358.337376,22.012,0.41
268,54358.338209,20.184,0.17
269,54358.339042,20.78,0.034
270,54365.368802,20.701,0.028
271,54365.369636,20.656,0.038
272,54365.370469,21.521,0.122
273,54365.371302,20.238,0.098
274,54365.372136,20.722,0.027
275,54381.388345,20.664,0.036
276,54381.389179,20.724,0.05
277,54381.390012,21.886,0.249
278,54381.390845,20.293,0.131
279,54381.391679,20.722,0.032
280,54384.394983,20.753,0.037
281,54384.395816,20.559,0.038
282,54384.396649,21.413,0.153
283,54384.397483,20.445,0.136
284,54384.398316,20.721,0.031
285,54386.380638,20.722,0.037
286,54386.381471,20.646,0.041
287,54386.382304,21.73,0.201
288,54386.383138,20.225,0.119
289,54386.383971,20.724,0.031
290,54388.384900,20.715,0.048
291,54388.385733,20.595,0.046
292,54388.386567,21.208,0.154
293,54388.387400,20.476,0.152
294,54388.388233,20.767,0.036
