53313.055025 r 17.684 0.007
53313.055858 i 17.288 0.007
53313.056692 u 21.088 0.144
53313.057525 z 17.009 0.016
53313.058358 g 18.727 0.009
53625.160236 r 17.620 0.007
53625.161069 i 17.216 0.007
53625.161903 u 21.446 0.182
53625.162736 z 17.013 0.013
53625.163569 g 18.727 0.010
53636.119273 r 17.673 0.007
53636.120106 i 17.280 0.007
53636.120940 u 21.285 0.125
53636.121773 z 17.016 0.013
53636.122606 g 18.698 0.009
53645.178942 r 17.653 0.006
53645.179775 i 17.349 0.006
53645.180609 u 21.136 0.122
53645.181442 z 16.989 0.012
53645.182275 g 18.750 0.009
53655.091277 r 17.658 0.007
53655.092110 i 17.203 0.007
53655.092944 u 21.250 0.187
53655.093777 z 17.008 0.013
53655.094610 g 18.699 0.011
53664.116237 r 17.853 0.008
#53664.117070 i -99.000 0.006
53664.117904 u 22.042 0.355
#53664.118737 z -99.000 0.014
53664.119570 g 18.677 0.010
53669.075475 r 17.660 0.007
53669.076308 i 17.381 0.007
53669.077142 u 20.918 0.086
53669.077975 z 17.008 0.013
53669.078808 g 18.702 0.009
53674.059711 r 17.620 0.006
53674.060544 i 17.162 0.006
53674.061378 u 21.383 0.156
53674.062211 z 16.984 0.013
53674.063044 g 18.621 0.009
53681.112608 r 17.691 0.010
#53681.113441 i -99.000 0.010
53681.114275 u 21.102 0.252
53681.115108 z 17.040 0.029
53681.115941 g 18.722 0.021
53685.071651 r 17.639 0.008
53685.072484 i 17.200 0.007
#53685.073318 u 25.666 2.299
53685.074151 z 16.984 0.018
53685.074984 g 18.958 0.024
53687.110005 r 17.705 0.008
53687.110838 i 17.300 0.007
53687.111672 u 21.367 0.463
53687.112505 z 17.099 0.015
53687.113338 g 18.825 0.020
53697.069633 r 17.624 0.017
#53697.070466 i -99.000 0.013
#53697.071300 u -99.000 0.513
53697.072133 z 17.111 0.031
53697.072966 g 18.665 0.017
53700.068595 r 17.650 0.007
53700.069428 i 17.239 0.006
53700.070262 u 21.530 0.215
53700.071095 z 17.056 0.016
53700.071928 g 18.666 0.009
53705.055266 r 17.568 0.006
53705.056099 i 17.250 0.007
53705.056933 u 21.539 0.233
53705.057766 z 16.941 0.014
53705.058599 g 18.701 0.010
53975.140261 r 17.636 0.141
53975.141095 i 17.279 0.139
53975.141928 u 21.124 0.144
53975.142761 z 16.987 0.111
53975.143595 g 18.633 0.184
#53994.135706 r -99.000 0.147
53994.136539 i 17.227 0.100
53994.137373 u 21.160 0.124
53994.138206 z 16.972 0.098
53994.139039 g 18.610 0.191
53998.115606 r 17.618 0.134
53998.116439 i 17.200 0.102
53998.117272 u 20.970 0.097
53998.118106 z 16.986 0.094
53998.118939 g 18.611 0.210
54010.101084 r 17.628 0.141
54010.101917 i 17.456 0.190
54010.102750 u 20.888 0.215
54010.103584 z 16.956 0.122
54010.104417 g 18.653 0.166
54012.093925 r 17.669 0.163
54012.094758 i 17.217 0.133
54012.095592 u 21.229 0.281
54012.096425 z 16.988 0.151
54012.097258 g 18.733 0.242
54020.099920 r 17.611 0.121
54020.100754 i 17.308 0.127
54020.101587 u 20.988 0.179
54020.102420 z 17.000 0.117
54020.103254 g 18.637 0.183
#54022.149191 r -99.000 0.136
#54022.150024 i -99.000 0.109
54022.150858 u 21.605 0.227
#54022.151691 z -99.000 0.110
54022.152524 g 18.629 0.167
54028.090282 r 17.672 0.139
54028.091116 i 17.228 0.103
54028.091949 u 21.834 0.322
54028.092782 z 16.983 0.095
54028.093616 g 18.830 0.209
#54030.093465 r -99.000 0.119
54030.094298 i 17.201 0.124
54030.095131 u 21.357 0.121
54030.095965 z 17.004 0.093
54030.096798 g 18.655 0.181
#54032.082885 r -99.000 0.187
#54032.083718 i -99.000 0.182
#54032.084551 u -99.000 0.193
#54032.085385 z -99.000 0.102
#54032.086218 g -99.000 0.225
#54034.152971 r -99.000 0.136
#54034.153805 i -99.000 0.108
54034.154638 u 21.425 0.340
#54034.155471 z -99.000 0.141
#54034.156305 g -99.000 0.257
54037.074708 r 17.650 0.151
54037.075542 i 17.195 0.118
54037.076375 u 21.053 0.128
54037.077208 z 16.970 0.090
54037.078042 g 18.644 0.191
54040.089191 r 17.667 0.166
54040.090025 i 17.229 0.135
54040.090858 u 21.482 0.291
54040.091691 z 17.033 0.132
54040.092525 g 18.715 0.251
54050.073824 r 17.615 0.122
54050.074658 i 17.215 0.106
54050.075491 u 21.291 0.202
54050.076324 z 16.993 0.082
54050.077158 g 18.804 0.204
54053.079990 r 17.852 0.151
54053.080823 i 17.266 0.124
54053.081657 u 22.309 0.594
54053.082490 z 17.088 0.123
54053.083323 g 19.286 0.331
54059.075941 r 17.628 0.136
54059.076774 i 17.158 0.097
54059.077607 u 21.253 0.222
54059.078441 z 17.046 0.090
54059.079274 g 18.678 0.176
#54061.086989 r -99.000 0.181
54061.087822 i 17.240 0.109
54061.088655 u 22.358 0.530
#54061.089489 z -99.000 0.094
54061.090322 g 18.828 0.280
54062.080840 r 17.615 0.133
54062.081673 i 17.312 0.117
54062.082506 u 21.047 0.198
54062.083340 z 16.999 0.117
54062.084173 g 18.946 0.216
54068.070820 r 17.727 0.147
54068.071653 i 17.201 0.134
54068.072487 u 21.852 0.773
54068.073320 z 17.138 0.150
54068.074153 g 18.694 0.198
54357.119130 r 17.690 0.130
54357.119964 i 17.398 0.137
54357.120797 u 21.048 0.164
54357.121630 z 17.009 0.095
#54357.122464 g -99.000 0.185
54365.116982 r 17.626 0.170
54365.117815 i 17.233 0.137
54365.118649 u 21.275 0.234
54365.119482 z 17.019 0.105
54365.120315 g 18.684 0.213
#54385.166956 r -99.000 0.174
54385.167789 i 17.246 0.136
54385.168623 u 21.598 0.212
54385.169456 z 16.995 0.127
54385.170289 g 18.640 0.223
54387.167460 r 17.690 0.131
54387.168293 i 17.227 0.093
54387.169127 u 20.970 0.189
54387.169960 z 16.985 0.093
#54387.170793 g -99.000 0.179
54392.162194 r 17.706 0.174
54392.163028 i 17.396 0.116
#54392.163861 u 22.651 1.180
54392.164694 z 17.123 0.111
54392.165528 g 18.919 0.238
54402.160646 r 17.672 0.134
54402.161479 i 17.201 0.115
54402.162312 u 21.062 0.280
54402.163146 z 17.001 0.102
54402.163979 g 18.686 0.184
