53288.087563 r 19.345 0.014
53288.088396 i 19.009 0.014
53288.089230 u 21.356 0.140
53288.090063 z 18.868 0.046
53288.090896 g 20.028 0.017
53302.083233 r 19.381 0.019
53302.084066 i 19.102 0.018
53302.084900 u 21.444 0.279
53302.085733 z 18.829 0.046
53302.086566 g 19.965 0.031
53623.134544 r 19.462 0.018
53623.135377 i 19.059 0.017
53623.136211 u 21.489 0.190
53623.137044 z 18.979 0.057
53623.137877 g 20.012 0.022
53626.120757 r 19.313 0.021
53626.121590 i 19.086 0.020
53626.122424 u 21.221 0.212
53626.123257 z 19.039 0.061
53626.124090 g 20.169 0.039
53637.107233 r 19.319 0.015
53637.108066 i 19.028 0.016
53637.108900 u 21.267 0.159
53637.109733 z 19.028 0.063
53637.110566 g 19.946 0.018
53656.081894 r 19.840 0.047
53656.082727 i 18.970 0.026
53656.083561 u 21.799 0.605
53656.084394 z 19.239 0.099
53656.085227 g 20.036 0.058
#53665.073172 r -99.000 0.127
#53665.074005 i -99.000 0.154
#53665.074839 u -99.000 2.512
#53665.075672 z -99.000 0.307
#53665.076505 g -99.000 0.334
53677.075563 r 19.346 0.015
53677.076396 i 18.838 0.013
53677.077230 u 21.631 0.207
53677.078063 z 19.046 0.073
53677.078896 g 20.114 0.022
53680.062228 r 19.240 0.013
53680.063061 i 18.897 0.013
53680.063895 u 21.359 0.129
53680.064728 z 18.827 0.041
53680.065561 g 19.920 0.016
53989.124826 r 19.338 0.062
53989.125660 i 18.925 0.214
53989.126493 u 21.860 0.214
53989.127326 z 19.001 0.067
53989.128160 g 20.035 0.047
53995.132755 r 19.295 0.042
53995.133588 i 18.991 0.110
53995.134422 u 21.482 0.134
53995.135255 z 18.930 0.077
53995.136088 g 19.915 0.038
53997.111132 r 19.447 0.119
53997.111966 i 19.197 0.145
53997.112799 u 22.294 0.396
53997.113632 z 18.918 0.096
#53997.114466 g 32.265 99.999
54009.092839 r 19.361 0.032
54009.093672 i 18.951 0.029
54009.094506 u 21.465 0.195
54009.095339 z 18.930 0.053
54009.096172 g 20.067 0.031
54011.157328 r 19.346 0.024
54011.158162 i 18.937 0.029
54011.158995 u 21.167 0.193
#54011.159828 z -99.000 0.042
54011.160662 g 19.909 0.040
54019.107538 r 19.380 0.173
54019.108372 i 19.012 0.120
54019.109205 u 21.944 0.261
54019.110038 z 18.852 0.061
54019.110872 g 20.060 0.039
#54051.063278 r -99.000 0.078
54051.064111 i 19.004 0.041
54051.064945 u 21.060 0.201
54051.065778 z 18.639 0.075
#54051.066611 g -99.000 0.065
54358.109906 r 19.259 0.189
54358.110740 i 19.024 0.083
#54358.111573 u 23.451 1.261
54358.112406 z 18.896 0.087
#54358.113240 g 19.912 3.040
54386.154859 r 19.311 0.031
54386.155692 i 19.061 0.032
54386.156525 u 21.164 0.241
54386.157359 z 18.683 0.074
54386.158192 g 19.969 0.035
54403.072899 r 19.310 0.030
54403.073733 i 18.969 0.079
54403.074566 u 21.376 0.132
54403.075399 z 18.844 0.055
54403.076233 g 19.985 0.025
54406.066728 r 19.311 0.055
#54406.067562 i -99.000 0.121
54406.068395 u 21.594 0.189
54406.069228 z 19.062 0.077
54406.070062 g 19.998 0.062
54412.069653 r 19.278 0.045
54412.070486 i 19.013 0.037
54412.071319 u 22.613 0.752
54412.072153 z 18.853 0.087
#54412.072986 g -99.000 0.037
54415.107214 r 19.301 0.027
#54415.108047 i -99.000 0.036
#54415.108881 u -99.000 0.190
#54415.109714 z -99.000 0.138
#54415.110547 g -99.000 0.034
