52075.334866 r 16.406 0.004
52075.335699 i 15.965 0.004
52075.336533 u 19.691 0.038
52075.337366 z 15.699 0.006
52075.338199 g 17.431 0.005
52197.143515 r 16.339 0.005
52197.144348 i 15.918 0.005
52197.145182 u 19.572 0.029
52197.146015 z 15.654 0.006
52197.146848 g 17.343 0.005
52557.181362 r 16.390 0.004
52557.182195 i 15.968 0.004
52557.183029 u 19.576 0.035
52557.183862 z 15.698 0.006
52557.184695 g 17.381 0.005
52578.077438 r 16.324 0.004
52578.078271 i 15.874 0.004
52578.079105 u 19.533 0.038
52578.079938 z 15.638 0.006
52578.080771 g 17.311 0.005
52929.107664 r 16.302 0.004
52929.108497 i 15.885 0.004
52929.109331 u 19.520 0.030
52929.110164 z 15.624 0.006
52929.110997 g 17.279 0.005
52934.087822 r 16.305 0.004
52934.088655 i 15.885 0.004
52934.089489 u 19.586 0.034
52934.090322 z 15.637 0.006
52934.091155 g 17.289 0.005
52936.083747 r 16.300 0.005
52936.084580 i 15.881 0.005
52936.085414 u 19.509 0.028
52936.086247 z 15.625 0.006
52936.087080 g 17.285 0.005
53243.268958 r 16.337 0.004
53243.269791 i 15.919 0.004
53243.270625 u 19.537 0.051
53243.271458 z 15.651 0.006
53243.272291 g 17.332 0.006
53270.147819 r 16.329 0.015
53270.148652 i 15.889 0.013
53270.149485 u 19.495 0.034
53270.150319 z 15.634 0.017
53270.151152 g 17.337 0.033
53272.197760 r 16.339 0.004
53272.198593 i 15.901 0.004
53272.199427 u 19.545 0.066
53272.200260 z 15.634 0.006
53272.201093 g 17.325 0.006
53288.124960 r 16.287 0.004
53288.125793 i 15.882 0.004
53288.126627 u 19.450 0.033
53288.127460 z 15.620 0.006
53288.128293 g 17.270 0.005
53302.120631 r 16.288 0.005
53302.121464 i 15.876 0.005
53302.122298 u 19.583 0.055
53302.123131 z 15.618 0.006
53302.123964 g 17.272 0.006
53312.076160 r 16.322 0.009
53312.076994 i 15.893 0.009
53312.077827 u 19.613 0.034
53312.078660 z 15.647 0.020
53312.079494 g 17.305 0.012
53314.077357 r 16.252 0.004
53314.078190 i 15.853 0.004
53314.079024 u 19.443 0.030
53314.079857 z 15.588 0.006
53314.080690 g 17.233 0.005
53623.171940 r 16.344 0.004
53623.172773 i 15.915 0.004
53623.173607 u 19.626 0.035
53623.174440 z 15.656 0.006
53623.175273 g 17.330 0.005
53626.158153 r 16.268 0.005
53626.158986 i 15.856 0.005
53626.159820 u 19.614 0.051
53626.160653 z 15.594 0.006
53626.161486 g 17.238 0.006
53628.143018 r 16.328 0.004
53628.143851 i 15.907 0.004
53628.144685 u 19.458 0.074
53628.145518 z 15.626 0.006
53628.146351 g 17.271 0.007
53637.144632 r 16.310 0.004
53637.145465 i 15.896 0.004
53637.146299 u 19.479 0.041
53637.147132 z 15.648 0.006
53637.147965 g 17.283 0.005
53644.137078 r 16.270 0.009
53644.137911 i 15.846 0.014
53644.138745 u 19.469 0.028
53644.139578 z 15.610 0.015
53644.140411 g 17.229 0.015
53654.171703 r 16.313 0.004
53654.172536 i 15.890 0.005
53654.173370 u 19.496 0.043
53654.174203 z 15.637 0.006
53654.175036 g 17.285 0.005
53656.119293 r 16.288 0.004
53656.120126 i 15.875 0.004
53656.120960 u 19.547 0.074
53656.121793 z 15.620 0.006
53656.122626 g 17.260 0.006
53665.110571 r 16.280 0.006
53665.111404 i 15.873 0.006
53665.112238 u 19.424 0.071
53665.113071 z 15.600 0.011
#53665.113904 g -99.000 0.009
53668.122204 r 16.295 0.004
53668.123037 i 15.889 0.004
53668.123871 u 19.567 0.038
53668.124704 z 15.626 0.006
53668.125537 g 17.268 0.005
53670.127057 r 16.262 0.004
53670.127890 i 15.852 0.004
53670.128724 u 19.443 0.036
53670.129557 z 15.598 0.006
53670.130390 g 17.228 0.005
53673.095039 r 16.300 0.004
53673.095872 i 15.876 0.004
53673.096706 u 19.548 0.037
53673.097539 z 15.629 0.006
53673.098372 g 17.262 0.005
53675.091928 r 16.261 0.004
53675.092761 i 15.847 0.004
53675.093595 u 19.479 0.031
53675.094428 z 15.606 0.006
53675.095261 g 17.236 0.005
53677.112960 r 16.292 0.004
53677.113793 i 15.889 0.004
53677.114627 u 19.537 0.036
53677.115460 z 15.632 0.006
53677.116293 g 17.264 0.005
53680.099626 r 16.258 0.004
53680.100459 i 15.842 0.004
53680.101293 u 19.409 0.031
53680.102126 z 15.597 0.006
53680.102959 g 17.226 0.005
53693.101530 r 16.252 0.004
53693.102363 i 15.850 0.004
53693.103197 u 19.399 0.049
53693.104030 z 15.595 0.006
53693.104863 g 17.220 0.006
53702.097197 r 16.237 0.008
53702.098030 i 15.847 0.013
53702.098864 u 19.458 0.048
53702.099697 z 15.568 0.013
53702.100530 g 17.212 0.012
53703.106378 r 16.263 0.009
53703.107212 i 15.856 0.013
#53703.108045 u -99.000 0.054
53703.108878 z 15.614 0.024
53703.109712 g 17.247 0.015
53704.084858 r 16.270 0.004
53704.085691 i 15.862 0.004
53704.086525 u 19.372 0.036
53704.087358 z 15.623 0.006
53704.088191 g 17.257 0.005
53974.172810 r 16.271 0.010
53974.173643 i 15.850 0.013
53974.174476 u 19.465 0.031
53974.175310 z 15.586 0.017
53974.176143 g 17.227 0.013
53989.180901 r 16.274 0.012
53989.181734 i 15.835 0.014
53989.182567 u 19.501 0.035
53989.183401 z 15.594 0.017
53989.184234 g 17.238 0.019
53995.170151 r 16.293 0.008
53995.170984 i 15.861 0.008
53995.171818 u 19.516 0.028
53995.172651 z 15.608 0.014
53995.173484 g 17.253 0.011
53997.148523 r 16.209 0.014
53997.149357 i 15.812 0.013
53997.150190 u 19.365 0.030
53997.151023 z 15.576 0.014
53997.151857 g 17.191 0.012
54005.120383 r 16.232 0.012
54005.121216 i 15.834 0.013
54005.122050 u 19.433 0.027
54005.122883 z 15.600 0.017
54005.123716 g 17.207 0.016
54007.133130 r 16.246 0.009
54007.133963 i 15.837 0.010
54007.134797 u 19.494 0.032
54007.135630 z 15.581 0.013
54007.136463 g 17.232 0.017
54009.130236 r 16.249 0.011
54009.131070 i 15.833 0.011
54009.131903 u 19.435 0.041
54009.132736 z 15.606 0.015
54009.133570 g 17.209 0.016
54011.194733 r 16.269 0.011
54011.195567 i 15.838 0.014
54011.196400 u 19.534 0.052
54011.197233 z 15.611 0.016
54011.198067 g 17.228 0.017
54019.144957 r 16.230 0.009
54019.145791 i 15.836 0.009
54019.146624 u 19.350 0.027
54019.147457 z 15.581 0.014
54019.148291 g 17.177 0.014
54025.193745 r 16.240 0.009
54025.194578 i 15.827 0.011
54025.195412 u 19.444 0.027
54025.196245 z 15.578 0.013
54025.197078 g 17.208 0.014
54029.124076 r 16.233 0.012
54029.124909 i 15.863 0.017
54029.125742 u 19.442 0.028
54029.126576 z 15.594 0.016
54029.127409 g 17.228 0.015
54051.100655 r 16.236 0.021
#54051.101489 i -99.000 0.020
#54051.102322 u -99.000 0.071
54051.103155 z 15.593 0.017
54051.103989 g 17.221 0.021
54356.202242 r 16.194 0.013
54356.203076 i 15.799 0.008
54356.203909 u 19.340 0.036
54356.204742 z 15.545 0.019
54356.205576 g 17.125 0.014
54358.147301 r 16.239 0.014
54358.148135 i 15.828 0.011
54358.148968 u 19.483 0.043
54358.149801 z 15.585 0.017
54358.150635 g 17.200 0.017
54373.179402 r 16.146 0.012
54373.180235 i 15.760 0.011
54373.181069 u 19.245 0.037
54373.181902 z 15.552 0.018
54373.182735 g 17.118 0.017
54381.192097 r 16.165 0.011
54381.192930 i 15.777 0.010
54381.193763 u 19.232 0.031
54381.194597 z 15.555 0.014
54381.195430 g 17.129 0.013
54382.189497 r 16.134 0.017
54382.190331 i 15.786 0.021
54382.191164 u 19.435 0.051
54382.191997 z 15.531 0.023
54382.192831 g 17.098 0.012
54383.195235 r 16.192 0.013
54383.196068 i 15.809 0.010
54383.196902 u 19.424 0.034
54383.197735 z 15.581 0.014
54383.198568 g 17.178 0.014
54386.192257 r 16.150 0.012
54386.193091 i 15.751 0.013
54386.193924 u 19.311 0.031
54386.194757 z 15.525 0.014
54386.195591 g 17.100 0.014
54388.196535 r 16.228 0.009
54388.197368 i 15.801 0.013
54388.198201 u 19.434 0.036
54388.199035 z 15.594 0.013
54388.199868 g 17.185 0.010
54403.110296 r 16.184 0.011
54403.111129 i 15.794 0.011
54403.111963 u 19.348 0.033
54403.112796 z 15.555 0.012
54403.113629 g 17.144 0.015
54406.104123 r 16.225 0.012
54406.104956 i 15.803 0.014
54406.105790 u 19.423 0.030
54406.106623 z 15.606 0.017
54406.107456 g 17.193 0.016
54412.107053 r 16.182 0.012
54412.107886 i 15.781 0.011
54412.108719 u 19.297 0.027
54412.109553 z 15.552 0.014
54412.110386 g 17.132 0.016
54415.144608 r 16.242 0.010
54415.145441 i 15.841 0.013
54415.146275 u 19.370 0.027
54415.147108 z 15.587 0.014
54415.147941 g 17.199 0.013
