,mjd,mag,magerr
0,51075.362210,14.75,0.004
1,51075.363043,14.424,0.004
2,51075.363877,18.101,0.013
3,51075.364710,14.252,0.004
4,51075.365543,15.737,0.003
5,51819.417083,14.727,0.004
6,51819.417916,14.397,0.004
7,51819.418750,18.108,0.015
8,51819.419583,14.246,0.005
9,51819.420416,15.734,0.003
10,52288.076152,14.752,0.003
11,52288.076985,14.455,0.004
12,52288.077819,18.131,0.013
13,52288.078652,14.267,0.004
14,52288.079485,15.755,0.004
15,52551.349445,14.789,0.003
16,52551.350278,14.413,0.003
17,52551.351112,18.158,0.014
18,52551.351945,14.253,0.004
19,52551.352778,15.741,0.003
20,52576.215371,14.77,0.004
21,52576.216204,14.421,0.004
22,52576.217038,18.113,0.013
23,52576.217871,14.26,0.004
24,52576.218704,15.765,0.004
25,52577.269826,14.77,0.004
26,52577.270659,14.411,0.004
27,52577.271493,18.12,0.013
28,52577.272326,14.256,0.004
29,52577.273159,15.756,0.004
30,52585.216904,14.758,0.003
31,52585.217737,14.428,0.004
32,52585.218571,18.109,0.013
33,52585.219404,14.284,0.004
34,52585.220237,15.732,0.003
35,52910.353783,14.757,0.004
36,52910.354616,14.419,0.004
37,52910.355450,18.056,0.014
38,52910.356283,14.249,0.004
39,52910.357116,15.736,0.003
40,52935.280950,14.767,0.004
41,52935.281783,14.432,0.004
42,52935.282617,18.103,0.014
43,52935.283450,14.252,0.004
44,52935.284283,15.736,0.004
45,52971.194941,14.751,0.003
46,52971.195774,14.446,0.003
47,52971.196608,18.127,0.014
48,52971.197441,14.249,0.004
49,52971.198274,15.745,0.003
50,53351.126329,14.769,0.004
51,53351.127162,14.437,0.004
52,53351.127996,18.085,0.014
53,53351.128829,14.263,0.004
54,53351.129662,15.755,0.004
55,53352.175092,14.77,0.003
56,53352.175925,14.44,0.003
57,53352.176759,18.138,0.015
58,53352.177592,14.266,0.004
59,53352.178425,15.747,0.003
60,53622.383386,14.788,0.003
61,53622.384219,14.452,0.003
62,53622.385053,18.1,0.016
63,53622.385886,14.271,0.004
64,53622.386719,15.781,0.003
65,53634.332858,14.773,0.003
66,53634.333691,14.439,0.003
67,53634.334525,18.09,0.035
68,53634.335358,14.246,0.004
69,53634.336191,15.729,0.003
70,53638.374193,14.788,0.004
71,53638.375026,14.445,0.004
72,53638.375860,18.117,0.015
73,53638.376693,14.266,0.004
74,53638.377526,15.771,0.004
75,53640.338229,14.777,0.003
76,53640.339062,14.462,0.004
77,53640.339896,18.091,0.015
78,53640.340729,14.276,0.004
79,53640.341562,15.76,0.003
80,53655.310402,14.771,0.003
81,53655.311235,14.44,0.003
82,53655.312069,18.064,0.015
83,53655.312902,14.236,0.004
84,53655.313735,15.747,0.003
85,53664.335357,14.801,0.004
86,53664.336190,14.465,0.004
87,53664.337024,18.168,0.024
88,53664.337857,14.283,0.005
89,53664.338690,15.769,0.004
90,53669.294602,14.771,0.004
91,53669.295435,14.443,0.004
92,53669.296269,18.089,0.014
93,53669.297102,14.255,0.005
94,53669.297935,15.753,0.004
95,53671.379363,14.761,0.003
96,53671.380196,14.427,0.004
97,53671.381030,18.058,0.019
98,53671.381863,14.252,0.004
99,53671.382696,15.752,0.003
100,53674.278838,14.763,0.003
101,53674.279671,14.417,0.003
102,53674.280505,18.079,0.017
103,53674.281338,14.244,0.004
104,53674.282171,15.731,0.003
105,53676.368305,14.77,0.004
106,53676.369138,14.436,0.005
107,53676.369972,18.065,0.017
108,53676.370805,14.248,0.005
109,53676.371638,15.75,0.004
110,53679.340202,14.753,0.003
111,53679.341035,14.449,0.003
112,53679.341869,18.095,0.017
