52935.066120 r 18.817 0.012
52935.066953 i 18.225 0.010
52935.067787 u 23.978 0.996
52935.068620 z 17.697 0.021
52935.069453 g 20.299 0.028
53313.059322 r 18.817 0.013
53313.060155 i 18.065 0.010
#53313.060989 u 25.082 1.553
53313.061822 z 17.666 0.026
53313.062655 g 20.492 0.033
#53622.168569 r -99.000 0.023
53622.169402 i 24.047 0.814
#53622.170236 u 24.809 1.422
53622.171069 z 17.885 0.024
53622.171902 g 20.399 0.033
53625.164533 r 18.841 0.013
53625.165366 i 18.070 0.010
53625.166200 u 23.186 0.699
53625.167033 z 17.759 0.020
53625.167866 g 20.340 0.031
53636.123570 r 18.758 0.011
53636.124403 i 18.105 0.009
53636.125237 u 22.588 0.363
53636.126070 z 17.788 0.022
53636.126903 g 20.283 0.025
53645.183239 r 18.809 0.012
53645.184072 i 18.076 0.009
#53645.184906 u 25.010 1.258
#53645.185739 z -99.000 0.039
53645.186572 g 20.243 0.034
53655.095575 r 18.849 0.013
53655.096408 i 18.128 0.010
53655.097242 u 22.809 0.653
53655.098075 z 17.835 0.021
53655.098908 g 20.382 0.036
53664.120535 r 18.719 0.014
53664.121368 i 18.122 0.010
#53664.122202 u 24.624 1.969
53664.123035 z 17.827 0.026
53664.123868 g 20.079 0.031
53666.084134 r 18.885 0.013
53666.084967 i 18.136 0.010
#53666.085801 u 24.196 1.028
53666.086634 z 17.653 0.020
53666.087467 g 20.358 0.026
53669.079774 r 18.826 0.012
53669.080607 i 18.093 0.009
#53669.081441 u 24.384 1.119
53669.082274 z 17.834 0.023
53669.083107 g 20.212 0.024
53674.064008 r 18.784 0.012
53674.064841 i 18.109 0.010
53674.065675 u 22.935 0.452
53674.066508 z 17.791 0.022
53674.067341 g 20.297 0.024
53681.116906 r 18.844 0.034
53681.117739 i 18.153 0.021
#53681.118573 u 23.602 1.299
#53681.119406 z -99.000 0.040
53681.120239 g 20.265 0.048
53687.114302 r 18.925 0.019
53687.115135 i 18.091 0.011
#53687.115969 u 26.638 1.383
53687.116802 z 17.669 0.022
53687.117635 g 20.311 0.059
53697.073931 r 18.983 0.034
53697.074764 i 18.219 0.023
#53697.075598 u 23.784 1.116
53697.076431 z 17.852 0.070
53697.077264 g 20.446 0.083
53700.072892 r 18.881 0.014
53700.073725 i 18.212 0.011
#53700.074559 u 23.752 1.096
53700.075392 z 17.768 0.024
53700.076225 g 20.217 0.026
53705.059563 r 18.603 0.012
53705.060396 i 17.927 0.010
#53705.061230 u 25.626 1.218
53705.062063 z 17.627 0.026
53705.062896 g 20.120 0.030
53975.144553 r 18.729 0.363
53975.145386 i 18.275 0.400
#53975.146219 u 24.024 2.133
53975.147053 z 17.867 0.235
53975.147886 g 20.313 0.810
53994.140006 r 18.966 0.692
53994.140840 i 18.078 0.325
#53994.141673 u 25.300 4.168
53994.142506 z 17.728 0.207
53994.143340 g 20.354 0.765
53998.119903 r 18.817 0.580
#53998.120737 i -99.000 0.355
#53998.121570 u 99.970 99.999
53998.122403 z 17.716 0.203
53998.123237 g 20.671 0.818
54010.105388 r 18.844 0.633
54010.106221 i 18.118 0.405
#54010.107055 u 24.197 2.323
54010.107888 z 17.749 0.221
54010.108721 g 20.326 0.470
54012.098223 r 18.824 0.618
54012.099056 i 18.127 0.367
#54012.099889 u 25.610 99.999
54012.100723 z 17.726 0.095
54012.101556 g 20.619 0.751
54020.104203 r 18.870 0.590
54020.105036 i 18.107 0.332
#54020.105869 u 99.989 99.999
54020.106703 z 17.710 0.179
54020.107536 g 19.971 0.797
54022.153496 r 18.825 0.611
#54022.154329 i -99.000 0.410
#54022.155162 u 22.575 1.043
54022.155996 z 17.841 0.080
54022.156829 g 20.626 0.500
54028.094575 r 18.851 0.405
54028.095408 i 18.218 0.316
#54028.096241 u 100.022 99.999
54028.097075 z 17.710 0.200
#54028.097908 g -99.000 0.852
54030.097765 r 18.780 0.527
54030.098598 i 18.095 0.364
#54030.099432 u 23.881 1.111
54030.100265 z 17.724 0.151
54030.101098 g 20.252 0.833
#54032.087325 r -99.000 0.482
54032.088158 i 18.066 0.328
#54032.088991 u 100.265 99.999
#54032.089825 z -99.000 0.243
#54032.090658 g -99.000 0.258
54037.079002 r 18.850 0.578
54037.079835 i 18.194 0.454
#54037.080669 u 24.840 3.415
54037.081502 z 17.706 0.242
54037.082335 g 20.204 0.677
54040.093519 r 18.766 0.518
54040.094352 i 18.127 0.363
#54040.095185 u 100.008 99.999
54040.096019 z 17.766 0.288
54040.096852 g 20.481 0.553
54050.078118 r 18.928 0.449
#54050.078952 i -99.000 0.290
#54050.079785 u 99.988 99.999
54050.080618 z 17.780 0.213
54050.081452 g 20.040 0.617
#54056.085953 r -99.000 0.359
54056.086786 i 18.164 0.299
#54056.087620 u 100.017 99.999
54056.088453 z 17.729 0.249
#54056.089286 g -99.000 0.961
54059.080235 r 18.756 0.374
54059.081068 i 18.199 0.341
#54059.081902 u 23.281 1.133
54059.082735 z 17.775 0.191
54059.083568 g 19.647 0.444
#54062.085134 r -99.000 0.376
54062.085968 i 18.385 0.354
54062.086801 u 22.787 0.852
54062.087634 z 17.800 0.242
54062.088468 g 19.995 0.611
54357.123472 r 18.840 0.440
54357.124305 i 18.090 0.267
#54357.125139 u 99.991 99.999
54357.125972 z 17.810 0.230
54357.126805 g 20.267 0.798
54365.121288 r 18.863 0.835
54365.122121 i 18.125 0.369
#54365.122954 u 99.993 99.999
54365.123788 z 17.730 0.083
54365.124621 g 20.270 0.763
54385.171266 r 18.662 0.392
54385.172099 i 18.067 0.270
#54385.172932 u -99.000 99.999
54385.173766 z 17.841 0.286
54385.174599 g 20.188 0.687
54402.164946 r 18.778 0.492
54402.165779 i 18.160 0.373
#54402.166613 u 22.793 1.348
54402.167446 z 17.721 0.206
54402.168279 g 20.167 0.698
