52935.067929 r 17.686 0.007
52935.068762 i 17.219 0.007
52935.069596 u 19.983 0.048
52935.070429 z 17.100 0.014
52935.071262 g 18.241 0.008
53622.170355 r 17.579 0.007
53622.171188 i 17.246 0.007
53622.172022 u 20.077 0.058
53622.172855 z 17.079 0.016
53622.173688 g 18.400 0.011
53625.166344 r 17.663 0.007
53625.167177 i 17.307 0.007
53625.168011 u 19.891 0.049
53625.168844 z 17.113 0.014
53625.169677 g 18.294 0.009
53636.125382 r 17.562 0.007
53636.126215 i 17.340 0.007
53636.127049 u 19.986 0.050
53636.127882 z 17.140 0.015
53636.128715 g 18.239 0.008
#53645.185048 r -99.000 0.006
#53645.185881 i -99.000 0.008
#53645.186715 u -99.000 0.087
53645.187548 z 17.020 0.013
53645.188381 g 18.233 0.008
53655.097384 r 17.686 0.008
53655.098217 i 17.298 0.007
53655.099051 u 19.962 0.062
53655.099884 z 17.092 0.014
53655.100717 g 18.274 0.009
53664.122344 r 17.538 0.007
53664.123177 i 17.414 0.008
53664.124011 u 19.990 0.065
53664.124844 z 17.284 0.019
53664.125677 g 18.260 0.010
53666.085943 r 17.410 0.006
53666.086776 i 17.078 0.007
53666.087610 u 19.978 0.048
53666.088443 z 17.027 0.015
53666.089276 g 18.119 0.008
53669.081583 r 17.376 0.006
53669.082416 i 17.043 0.006
53669.083250 u 19.902 0.049
53669.084083 z 16.981 0.014
53669.084916 g 18.081 0.007
53681.118715 r 17.518 0.012
53681.119548 i 17.136 0.011
53681.120382 u 20.303 0.121
#53681.121215 z -99.000 0.033
#53681.122048 g -99.000 0.013
53685.077757 r 17.804 0.011
53685.078590 i 17.159 0.008
53685.079424 u 19.939 0.123
53685.080257 z 17.263 0.022
53685.081090 g 18.876 0.025
53687.116111 r 17.492 0.008
53687.116944 i 17.140 0.007
53687.117778 u 20.123 0.152
53687.118611 z 17.187 0.016
53687.119444 g 19.311 0.028
53994.141810 r 17.639 0.541
53994.142643 i 17.380 0.537
53994.143476 u 19.953 0.079
53994.144310 z 17.103 0.426
53994.145143 g 18.410 0.610
53998.121715 r 17.536 0.492
53998.122548 i 17.457 0.615
53998.123381 u 20.133 0.064
53998.124215 z 17.123 0.634
53998.125048 g 18.207 0.509
54010.107189 r 17.759 0.636
54010.108023 i 17.713 0.830
54010.108856 u 20.078 0.082
54010.109689 z 17.186 0.608
54010.110523 g 18.196 0.452
54012.100038 r 17.595 0.529
54012.100871 i 17.234 0.452
54012.101704 u 20.395 0.137
54012.102538 z 17.122 0.434
54012.103371 g 18.242 0.473
54028.096385 r 17.867 0.673
54028.097218 i 17.500 0.641
54028.098051 u 19.935 0.188
54028.098885 z 17.007 0.662
54028.099718 g 18.204 0.493
54030.099595 r 17.587 0.555
54030.100428 i 16.991 0.402
54030.101262 u 19.949 0.092
54030.102095 z 16.991 0.553
54030.102928 g 18.141 0.459
54032.089109 r 17.491 0.463
#54032.089943 i -99.000 0.398
#54032.090776 u -99.000 0.138
#54032.091609 z -99.000 0.543
#54032.092443 g -99.000 0.453
54040.095295 r 17.505 0.483
54040.096128 i 17.149 0.444
54040.096962 u 20.058 0.103
54040.097795 z 17.162 0.472
54040.098628 g 18.315 0.534
54056.087785 r 17.428 0.446
54056.088618 i 17.202 0.455
54056.089451 u 20.124 0.203
#54056.090285 z -99.000 0.382
54056.091118 g 18.303 0.523
54357.125240 r 17.568 0.448
54357.126073 i 17.354 0.506
54357.126906 u 20.220 0.074
54357.127740 z 17.237 0.510
54357.128573 g 18.223 0.443
54365.123098 r 17.563 0.526
54365.123931 i 17.299 0.514
54365.124764 u 20.059 0.103
54365.125598 z 17.162 0.562
54365.126431 g 18.274 0.462
54402.166748 r 17.504 0.455
54402.167581 i 17.339 0.503
54402.168415 u 20.435 0.194
54402.169248 z 17.178 0.387
54402.170081 g 18.268 0.462
