52197.132096 r 19.055 0.012
52197.132929 i 18.516 0.011
52197.133763 u 22.773 0.337
52197.134596 z 18.223 0.027
52197.135429 g 20.147 0.022
52557.169945 r 19.486 0.018
52557.170778 i 19.298 0.021
#52557.171612 u 24.671 1.215
52557.172445 z 18.403 0.034
52557.173278 g 20.705 0.044
52929.096246 r 19.021 0.014
52929.097079 i 18.510 0.012
52929.097913 u 23.009 0.479
52929.098746 z 18.282 0.027
52929.099579 g 20.559 0.032
52934.076403 r 18.998 0.013
52934.077236 i 18.485 0.012
52934.078070 u 22.611 0.339
52934.078903 z 18.254 0.026
52934.079736 g 20.466 0.029
52936.072328 r 19.159 0.013
52936.073161 i 18.567 0.013
52936.073995 u 22.630 0.303
52936.074828 z 18.252 0.026
52936.075661 g 20.377 0.024
53243.257541 r 19.529 0.036
53243.258374 i 18.506 0.016
#53243.259208 u 24.614 3.257
53243.260041 z 18.531 0.044
53243.260874 g 21.555 0.191
53270.136388 r 19.001 0.315
53270.137221 i 18.491 0.779
53270.138055 u 22.051 0.290
53270.138888 z 18.359 0.042
53270.139721 g 20.483 0.153
53272.186340 r 19.138 0.023
53272.187173 i 18.672 0.018
#53272.188007 u 22.753 1.092
53272.188840 z 18.400 0.034
53272.189673 g 20.121 0.053
53288.113543 r 18.786 0.014
53288.114376 i 18.526 0.015
53288.115210 u 22.635 0.515
53288.116043 z 18.224 0.032
53288.116876 g 20.334 0.040
53302.109214 r 19.007 0.018
53302.110047 i 18.725 0.016
#53302.110881 u 23.422 1.481
53302.111714 z 18.298 0.027
53302.112547 g 20.295 0.045
53314.065941 r 18.984 0.014
53314.066774 i 18.500 0.013
53314.067608 u 23.422 0.680
53314.068441 z 18.290 0.030
53314.069274 g 20.432 0.028
53623.160523 r 18.965 0.013
53623.161356 i 18.575 0.015
#53623.162190 u 24.602 1.554
53623.163023 z 18.352 0.029
53623.163856 g 20.351 0.035
53626.146736 r 18.954 0.014
53626.147569 i 18.446 0.012
53626.148403 u 23.095 0.937
53626.149236 z 18.351 0.027
53626.150069 g 20.075 0.036
53644.125657 r 18.958 0.761
53644.126490 i 18.519 0.671
#53644.127323 u 27.929 99.999
53644.128157 z 18.336 0.103
53644.128990 g 20.391 0.585
53654.160285 r 19.079 0.017
53654.161118 i 18.603 0.015
#53654.161952 u 24.660 1.923
53654.162785 z 18.357 0.033
53654.163618 g 20.221 0.040
53656.107874 r 18.918 0.025
53656.108707 i 18.646 0.024
53656.109541 u 22.011 0.772
53656.110374 z 18.300 0.044
53656.111207 g 20.350 0.080
53668.110786 r 18.897 0.020
53668.111619 i 18.820 0.025
#53668.112453 u 24.657 2.288
53668.113286 z 18.431 0.061
53668.114119 g 20.361 0.057
53670.115639 r 19.040 0.016
53670.116472 i 18.512 0.014
#53670.117306 u 24.581 1.451
53670.118139 z 18.428 0.040
53670.118972 g 21.766 0.122
53673.083621 r 18.942 0.014
53673.084454 i 18.495 0.013
53673.085288 u 23.004 0.564
53673.086121 z 18.256 0.031
53673.086954 g 20.204 0.028
53675.080510 r 18.973 0.016
53675.081343 i 18.524 0.014
#53675.082177 u 24.631 1.232
53675.083010 z 18.303 0.034
53675.083843 g 21.575 0.092
53677.101542 r 19.092 0.012
53677.102375 i 18.574 0.012
53677.103209 u 22.748 0.341
53677.104042 z 18.400 0.028
53677.104875 g 20.232 0.026
53680.088208 r 19.081 0.012
53680.089041 i 18.583 0.011
53680.089875 u 23.034 0.474
53680.090708 z 18.324 0.025
53680.091541 g 20.339 0.026
53693.090114 r 19.022 0.016
53693.090947 i 18.613 0.015
#53693.091781 u 24.571 1.615
53693.092614 z 18.361 0.031
53693.093447 g 20.754 0.057
53704.073441 r 18.858 0.015
53704.074274 i 18.456 0.015
53704.075108 u 23.030 0.686
53704.075941 z 18.198 0.031
53704.076774 g 20.380 0.045
53974.161386 r 18.898 0.996
53974.162219 i 18.467 0.507
53974.163053 u 23.077 0.529
53974.163886 z 18.384 0.045
53974.164719 g 20.326 0.177
53995.158732 r 19.013 0.292
53995.159565 i 18.558 0.319
53995.160399 u 23.443 0.764
53995.161232 z 18.331 0.040
53995.162065 g 20.260 0.149
54005.108961 r 18.898 0.917
54005.109794 i 18.519 0.825
54005.110627 u 21.957 0.237
54005.111461 z 18.295 0.036
54005.112294 g 20.262 0.182
54007.121720 r 18.957 0.446
54007.122554 i 18.526 0.583
54007.123387 u 22.317 0.432
54007.124220 z 18.253 0.039
54007.125054 g 20.462 0.189
54009.118833 r 19.004 0.157
54009.119666 i 18.896 0.070
#54009.120500 u 28.000 99.999
54009.121333 z 18.228 0.166
54009.122166 g 20.225 0.252
54011.183312 r 19.124 0.036
54011.184145 i 18.522 0.030
#54011.184979 u 24.557 4.803
54011.185812 z 18.316 0.038
54011.186645 g 20.546 0.160
54029.112660 r 19.044 0.638
54029.113493 i 18.539 0.254
#54029.114326 u 23.904 1.143
54029.115160 z 18.349 0.041
54029.115993 g 20.410 0.087
54356.190842 r 18.970 0.383
54356.191676 i 18.657 0.162
54356.192509 u 22.517 0.327
54356.193342 z 18.358 0.040
#54356.194176 g 20.138 1.435
#54373.167982 r 18.942 1.018
54373.168815 i 18.535 0.356
#54373.169649 u 23.534 1.533
54373.170482 z 18.343 0.053
54373.171315 g 20.434 0.232
54386.180834 r 18.952 0.055
54386.181667 i 18.720 0.212
54386.182501 u 23.052 0.704
54386.183334 z 18.290 0.032
54386.184167 g 20.244 0.078
54388.185110 r 19.251 0.213
54388.185944 i 18.526 0.769
54388.186777 u 22.776 0.752
54388.187610 z 18.333 0.056
#54388.188444 g 20.233 2.382
54403.098877 r 19.013 0.190
54403.099710 i 18.593 0.464
54403.100544 u 23.308 0.805
54403.101377 z 18.227 0.050
54403.102210 g 20.171 0.102
#54406.092706 r 18.907 1.059
54406.093540 i 18.519 0.599
#54406.094373 u 23.935 1.216
54406.095206 z 18.328 0.056
54406.096040 g 20.372 0.216
54412.095635 r 19.000 0.144
54412.096468 i 18.462 0.887
#54412.097301 u 24.440 2.117
54412.098135 z 18.216 0.041
#54412.098968 g 20.158 1.705
54415.133193 r 18.967 0.066
54415.134026 i 18.569 0.038
54415.134859 u 23.158 0.677
54415.135693 z 18.358 0.040
54415.136526 g 20.184 0.099
