53270.105519 r 18.797 0.010
53270.106353 i 18.446 0.019
53270.107186 u 21.211 0.144
53270.108019 z 18.250 0.024
53270.108853 g 19.476 0.020
53288.082671 r 18.828 0.010
53288.083504 i 18.509 0.011
53288.084338 u 21.122 0.101
53288.085171 z 18.291 0.024
53288.086004 g 19.511 0.014
53626.115865 r 18.822 0.014
53626.116698 i 18.479 0.013
53626.117532 u 20.953 0.166
53626.118365 z 18.350 0.029
53626.119198 g 19.532 0.027
53628.100730 r 18.681 0.018
53628.101563 i 18.285 0.015
53628.102397 u 20.712 0.219
53628.103230 z 18.180 0.034
53628.104063 g 19.362 0.033
53637.102342 r 18.577 0.010
#53637.103175 i -99.000 0.011
53637.104009 u 21.064 0.133
#53637.104842 z -99.000 0.029
53637.105675 g 19.295 0.014
53673.052749 r 18.746 0.012
53673.053582 i 18.429 0.013
53673.054416 u 20.992 0.144
53673.055249 z 18.253 0.030
53673.056082 g 19.451 0.016
53677.070672 r 18.804 0.012
#53677.071505 i -99.000 0.012
53677.072339 u 21.000 0.097
#53677.073172 z -99.000 0.027
#53677.074005 g -99.000 0.014
53989.119935 r 18.791 0.012
53989.120768 i 18.459 0.021
53989.121601 u 20.904 0.071
#53989.122435 z -99.000 0.030
#53989.123268 g -99.000 0.032
54005.078090 r 18.751 0.036
54005.078923 i 18.431 0.014
54005.079757 u 20.931 0.121
54005.080590 z 18.258 0.023
54005.081423 g 19.469 0.019
54009.087957 r 18.746 0.025
54009.088790 i 18.469 0.014
54009.089623 u 20.915 0.109
54009.090457 z 18.316 0.027
54009.091290 g 19.516 0.019
54011.152456 r 18.845 0.018
54011.153289 i 18.475 0.016
54011.154122 u 20.977 0.167
54011.154956 z 18.311 0.028
54011.155789 g 19.464 0.026
54025.151464 r 18.746 0.023
54025.152298 i 18.402 0.018
54025.153131 u 20.708 0.075
54025.153964 z 18.258 0.027
54025.154798 g 19.486 0.015
54029.081790 r 18.800 0.013
54029.082623 i 18.457 0.013
54029.083456 u 21.185 0.098
54029.084290 z 18.268 0.026
54029.085123 g 19.477 0.020
54051.058369 r 18.762 0.023
#54051.059202 i -99.000 0.031
54051.060036 u 20.723 0.186
#54051.060869 z -99.000 0.051
54051.061702 g 19.469 0.018
54403.068010 r 18.799 0.013
54403.068843 i 18.457 0.024
54403.069677 u 21.023 0.091
54403.070510 z 18.247 0.024
54403.071343 g 19.490 0.014
54406.061843 r 18.762 0.010
54406.062676 i 18.428 0.021
54406.063510 u 20.965 0.088
54406.064343 z 18.250 0.032
54406.065176 g 19.437 0.021
54412.064763 r 18.769 0.013
#54412.065596 i -99.000 0.018
#54412.066430 u -99.000 0.107
#54412.067263 z -99.000 0.039
54412.068096 g 19.490 0.020
