plate,mjd,fiber,redshift,subclass,e_bv_sfd,h_beta_flux
2142,54208,499,0.2240888,BROADLINE,0.02716522,131.6528
2142,54208,621,0.2375643,STARBURST BROADLINE,0.02752653,71.18325
2142,54208,637,0.06449452,STARBURST BROADLINE,0.02924547,6220.282
2143,54184,446,0.2588363,BROADLINE,0.03251076,428.948
2144,53770,263,0.2997678,STARBURST BROADLINE,0.03441586,81.89317
2144,53770,287,0.2978118,STARBURST BROADLINE,0.02635138,334.8038
2145,54212,76,0.2296589,BROADLINE,0.03806349,106.3263
2145,54212,467,0.2789952,BROADLINE,0.03480086,202.7542
2146,54230,204,0.2483222,STARBURST BROADLINE,0.0257342,1012.94
2156,54525,193,0.2705555,STARBURST BROADLINE,0.03878864,119.7763
2157,54242,195,0.2046669,BROADLINE,0.05928152,2053.386
2158,54209,114,0.136087,STARBURST BROADLINE,0.04312729,4356.603
2160,53885,243,0.165382,STARBURST BROADLINE,0.04395969,1675.655
2160,53885,444,0.2361374,BROADLINE,0.03237196,324.7374
2237,53828,448,0.235612,STARBURST BROADLINE,0.01340161,43.81033
2239,53726,239,0.1934278,STARBURST BROADLINE,0.01339498,1505.347
2242,54153,253,0.1830579,STARBURST BROADLINE,0.01418767,589.2766
2242,54153,454,0.2761594,STARBURST BROADLINE,0.00941558,79.36034
2242,54153,588,0.237003,STARBURST BROADLINE,0.0113098,126.2934
2243,53794,585,0.284118,STARBURST BROADLINE,0.01391258,54.28283
2246,53767,66,0.0863796,AGN BROADLINE,0.01130901,2033.969
2601,54144,271,0.2630214,STARBURST BROADLINE,0.0237951,259.4819
2601,54144,378,0.2641678,STARBURST BROADLINE,0.01727005,195.9526
2601,54144,575,0.2014321,BROADLINE,0.02678784,93.04583
2603,54479,200,0.1901163,BROADLINE,0.02724931,269.8766
2603,54479,443,0.1182318,BROADLINE,0.02328548,1080.492
2604,54484,232,0.2082254,BROADLINE,0.02351066,504.2233
2604,54484,598,0.1927217,BROADLINE,0.02790736,113.8943
2606,54154,44,0.2461739,BROADLINE,0.02517734,117.0851
2606,54154,581,0.2645762,BROADLINE,0.02268166,292.094
2607,54184,178,0.2763289,BROADLINE,0.01862307,155.4419
2607,54184,477,0.2086255,STARBURST BROADLINE,0.02001703,695.1603
2614,54481,279,0.1602625,STARBURST BROADLINE,0.02115681,778.7159
2614,54481,350,0.2393598,BROADLINE,0.02482056,370.0913
2617,54502,143,0.2217153,STARBURST BROADLINE,0.02738428,1593.179
2618,54506,416,0.2926029,BROADLINE,0.02199499,317.0081
2641,54230,269,0.2595482,BROADLINE,0.03421406,143.6215
2641,54230,284,0.1882003,BROADLINE,0.03452023,153.3029
2649,54212,215,0.1266571,BROADLINE,0.05069542,2140.768
2650,54505,207,0.2825699,STARBURST BROADLINE,0.03317659,152.3747
2651,54507,448,0.2577475,STARBURST BROADLINE,0.0119631,41.14272
2653,54230,372,0.2904827,STARBURST BROADLINE,0.01808054,170.442
2661,54505,197,0.1883969,STARBURST BROADLINE,0.01306634,331.5082
2661,54505,550,0.1956688,STARBURST BROADLINE,0.009927529,280.6693
2662,54505,172,0.2493957,BROADLINE,0.01780124,312.7607
2662,54505,293,0.2583058,BROADLINE,0.02045256,541.0374
2662,54505,445,0.2745785,BROADLINE,0.01489742,285.3338
2664,54524,39,0.2226322,STARBURST BROADLINE,0.01294691,1267.704
2743,54259,26,0.2151691,STARBURST BROADLINE,0.01818977,255.7214
2743,54259,576,0.1502831,BROADLINE,0.02999531,531.9232
2743,54259,581,0.2196604,BROADLINE,0.01907538,409.3099
2745,54231,295,0.265141,BROADLINE,0.0144214,944.1344
2746,54232,150,0.2413164,STARBURST BROADLINE,0.01898775,562.0349
2746,54232,158,0.2561927,AGN BROADLINE,0.02369661,373.9967
2746,54232,494,0.2311233,BROADLINE,0.02358247,592.7064
2748,54234,628,0.2679554,BROADLINE,0.01673531,125.377
2750,54242,86,0.2584745,BROADLINE,0.02762309,298.6597
2751,54243,575,0.1180205,STARBURST BROADLINE,0.02717935,1935.271
2755,54507,65,0.2155004,BROADLINE,0.01941895,156.4176
2756,54508,228,0.1514729,STARBURST BROADLINE,0.01841983,2094.599
2757,54509,152,0.2253893,BROADLINE,0.02670388,317.9666
2757,54509,462,0.2308016,BROADLINE,0.04291791,101.603
2757,54509,534,0.2451501,STARBURST BROADLINE,0.03848829,498.8271
2758,54523,14,0.2375693,AGN BROADLINE,0.01994194,285.3593
2760,54506,639,0.2248143,BROADLINE,0.02293293,346.2589
2761,54534,250,0.1624963,BROADLINE,0.03391584,622.2419
2763,54507,244,0.2697569,BROADLINE,0.01915249,133.9435
2770,54510,433,0.1965366,STARBURST BROADLINE,0.02233633,4131.215
2771,54527,71,0.2015326,STARBURST BROADLINE,0.04471225,351.5498
2771,54527,419,0.2610683,BROADLINE,0.02582617,1618.641
2772,54529,231,0.2385001,STARBURST BROADLINE,0.04626172,930.851
2773,54533,640,0.2134592,BROADLINE,0.03172268,1652.594
2774,54534,38,0.2587776,AGN BROADLINE,0.02881863,221.7117
2774,54534,430,0.1098744,BROADLINE,0.0324995,1842.363
2776,54554,495,0.2991473,STARBURST BROADLINE,0.03971763,89.68754
2778,54539,572,0.2681316,BROADLINE,0.03447537,163.4199
2780,54557,275,0.2431923,STARBURST BROADLINE,0.02479612,215.1753
2783,54524,397,0.2706638,BROADLINE,0.01180832,82.67503
2784,54529,10,0.09831072,STARBURST BROADLINE,0.02221656,4170.931
2784,54529,481,0.214991,BROADLINE,0.02692673,203.1797
2784,54529,535,0.1600988,STARBURST BROADLINE,0.020434,354.0004
2785,54537,499,0.1724894,STARBURST BROADLINE,0.02490337,571.5805
2787,54552,171,0.2767682,STARBURST BROADLINE,0.03056524,74.55131
2787,54552,390,0.2813598,BROADLINE,0.04563117,140.2599
2788,54553,395,0.2840404,BROADLINE,0.04519792,506.8268
2789,54555,231,0.2048016,BROADLINE,0.02364817,155.7982
2791,54556,520,0.222684,STARBURST BROADLINE,0.04241364,973.6503
2792,54556,89,0.1705441,STARBURST BROADLINE,0.02710141,1935.623
2947,54533,473,0.2847331,BROADLINE,0.02006215,54.41901
2953,54560,240,0.1133047,STARBURST BROADLINE,0.05380141,528.8362
