plate,mjd,fiber,redshift,subclass,e_bv_sfd,h_beta_flux
846,52407,596,0.1647449,BROADLINE,0.02416391,703.1163
847,52426,558,0.2331841,BROADLINE,0.03535004,230.7752
847,52426,602,0.1820049,STARBURST BROADLINE,0.02790912,635.4926
849,52439,300,0.1839849,BROADLINE,0.02956318,300.9669
849,52439,590,0.2001507,BROADLINE,0.03410032,254.5732
850,52338,234,0.2957134,BROADLINE,0.02668015,245.6323
850,52338,248,0.2273587,BROADLINE,0.02780328,1162.181
852,52375,349,0.2424925,BROADLINE,0.02833081,524.1245
852,52375,625,0.1739949,BROADLINE,0.03109373,100.2148
854,52373,335,0.2745452,AGN BROADLINE,0.02519764,239.9653
854,52373,398,0.2657104,STARBURST BROADLINE,0.02936206,1265.397
854,52373,621,0.1867498,STARBURST BROADLINE,0.02453887,341.4805
855,52375,250,0.2024562,STARFORMING BROADLINE,0.02500386,112.2265
855,52375,251,0.2534572,BROADLINE,0.02117353,55.67508
856,52339,10,0.1642211,BROADLINE,0.03100815,1758.235
885,52379,449,0.2016241,STARBURST BROADLINE,0.01896156,86.80108
886,52381,396,0.1621236,STARBURST BROADLINE,0.01163734,2573.339
910,52377,167,0.1839719,AGN BROADLINE,0.03688592,65.9139
910,52377,259,0.1854109,BROADLINE,0.03902416,159.8737
912,52427,339,0.2922319,STARBURST BROADLINE,0.03481993,31.13124
913,52433,132,0.2230707,STARBURST BROADLINE,0.04218416,313.4665
913,52433,407,0.1779683,STARBURST BROADLINE,0.03471726,102.1598
917,52400,55,0.2814984,STARBURST BROADLINE,0.06020666,70.19965
922,52426,40,0.2682625,STARBURST BROADLINE,0.09104484,144.7218
957,52398,520,0.2399261,STARBURST BROADLINE,0.01128826,118.7445
958,52410,415,0.2549202,BROADLINE,0.0213319,205.4912
958,52410,525,0.2826634,STARBURST BROADLINE,0.008565676,170.9032
958,52410,606,0.1371693,STARBURST BROADLINE,0.01611133,333.0728
959,52411,192,0.1921499,STARBURST BROADLINE,0.009621792,199.6283
960,52425,214,0.1238792,BROADLINE,0.008508174,1209.838
960,52425,321,0.1710412,STARBURST BROADLINE,0.01433307,153.4838
1040,52722,476,0.2971902,AGN BROADLINE,0.02196477,218.6221
1041,52724,285,0.2799852,STARBURST BROADLINE,0.01407141,334.2975
1041,52724,440,0.2917909,BROADLINE,0.01702362,178.4646
1042,52725,132,0.2690201,BROADLINE,0.01152176,621.0911
1042,52725,305,0.1615461,BROADLINE,0.0133025,385.3743
1042,52725,499,0.2935225,AGN BROADLINE,0.01612042,331.5244
1042,52725,609,0.2215805,BROADLINE,0.0090562,526.8307
1044,52468,368,0.1746438,BROADLINE,0.01292495,1157.279
1045,52725,72,0.2754058,BROADLINE,0.01267039,421.1496
1046,52460,54,0.2485362,BROADLINE,0.03253732,14.08756
1046,52460,125,0.2540441,BROADLINE,0.0220569,513.0931
1046,52460,170,0.2034624,STARBURST BROADLINE,0.02217858,711.2766
1047,52733,355,0.1660594,STARBURST BROADLINE,0.02275537,237.4101
1048,52736,589,0.2081537,STARBURST BROADLINE,0.01844084,852.7242
1050,52721,458,0.1993452,BROADLINE,0.02784464,1546.94
1050,52721,500,0.1986541,STARBURST BROADLINE,0.02672229,724.2312
1050,52721,584,0.1763156,BROADLINE,0.02282623,145.867
1051,52468,265,0.2382287,BROADLINE,0.01857375,709.6618
1158,52668,359,0.1626487,STARBURST BROADLINE,0.006851166,261.0046
1159,52669,65,0.2383302,BROADLINE,0.01048782,261.4418
1160,52674,171,0.1492429,BROADLINE,0.01431118,1043.19
1162,52668,73,0.230684,AGN BROADLINE,0.01675457,143.2007
1162,52668,141,0.2520696,BROADLINE,0.01286294,403.3725
