Unnamed: 0,mjd,mag,magerr
0,51081.3379,19.828,0.029
1,51081.338733,19.829,0.043
2,51081.339567,21.332,0.178
3,51081.3404,20.085,0.164
4,51081.341233,20.264,0.03
5,51819.409065,19.85,0.021
6,51819.409898,19.927,0.033
7,51819.410732,21.466,0.163
8,51819.411565,19.711,0.086
9,51819.412398,20.376,0.023
10,52558.374279,19.859,0.018
11,52558.375112,19.779,0.025
12,52558.375946,-99.0,0.131
13,52558.376779,19.675,0.073
14,52558.377612,20.485,0.023
15,52577.261785,19.862,0.02
16,52577.262618,19.795,0.028
17,52577.263452,21.443,0.146
18,52577.264285,19.703,0.084
19,52577.265118,20.3,0.021
20,52910.345742,19.829,0.02
21,52910.346575,19.796,0.028
22,52910.347409,21.821,0.189
23,52910.348242,19.712,0.087
24,52910.349075,20.277,0.021
25,52931.275946,19.889,0.02
26,52931.276779,19.69,0.025
27,52931.277613,21.664,0.167
28,52931.278446,19.821,0.097
29,52931.279279,20.366,0.023
30,52935.27291,19.907,0.024
31,52935.273743,19.793,0.034
32,52935.274577,21.571,0.182
33,52935.27541,20.086,0.154
34,52935.276243,20.285,0.022
35,52963.195984,19.898,0.018
36,52963.196817,19.681,0.022
37,52963.197651,21.287,0.097
38,52963.198484,19.922,0.086
39,52963.199317,20.305,0.02
40,53351.118287,19.941,0.029
41,53351.11912,19.734,0.039
42,53351.119954,21.545,0.16
43,53351.120787,19.769,0.108
44,53351.12162,20.276,0.022
45,53352.167049,19.821,0.025
46,53352.167882,19.761,0.035
47,53352.168716,21.651,0.196
48,53352.169549,19.744,0.105
49,53352.170382,20.379,0.027
50,53622.375346,19.922,0.031
51,53622.376179,19.729,0.038
52,53622.377013,21.353,0.22
53,53622.377846,20.653,0.293
54,53622.378679,20.062,0.028
55,53638.366152,19.91,0.022
56,53638.366985,19.743,0.028
57,53638.367819,21.435,0.177
58,53638.368652,19.55,0.074
59,53638.369485,20.265,0.024
60,53640.330188,19.923,0.023
61,53640.331021,19.755,0.028
62,53640.331855,21.59,0.22
63,53640.332688,19.745,0.104
64,53640.333521,20.297,0.025
65,53655.30236,19.724,0.027
66,53655.303193,19.717,0.041
67,53655.304027,22.417,0.497
68,53655.30486,19.931,0.159
69,53655.305693,20.201,0.032
70,53664.327316,20.098,0.111
71,53664.328149,-99.0,0.088
72,53664.328983,21.372,0.553
73,53664.329816,19.758,0.244
74,53664.330649,20.439,0.098
75,53669.286561,19.882,0.023
76,53669.287394,19.746,0.028
77,53669.288228,21.581,0.163
78,53669.289061,19.83,0.091
79,53669.289894,20.276,0.021
80,53671.37132,19.902,0.03
81,53671.372153,19.967,0.048
82,53671.372987,21.352,0.266
83,53671.37382,20.115,0.172
84,53671.374653,20.358,0.033
85,53674.270798,19.751,0.028
86,53674.271631,19.638,0.034
87,53674.272465,21.976,0.347
88,53674.273298,19.872,0.129
89,53674.274131,20.162,0.025
90,53676.360264,19.866,0.023
91,53676.361097,19.74,0.027
92,53676.361931,21.483,0.196
93,53676.362764,19.474,0.071
94,53676.363597,20.252,0.023
95,53681.323673,19.875,0.022
96,53681.324506,19.657,0.027
97,53681.32534,21.254,0.137
98,53681.326173,19.568,0.075
99,53681.327006,20.316,0.024
100,53685.282728,19.95,0.044
101,53685.283561,19.854,0.047
102,53685.284395,21.655,0.379
103,53685.285228,20.167,0.154
104,53685.286061,20.323,0.055
105,53697.280699,19.984,0.039
106,53697.281532,19.822,0.041
107,53697.282366,21.347,0.22
108,53697.283199,19.809,0.11
109,53697.284032,20.276,0.036
110,53700.279656,20.015,0.034
111,53700.280489,19.75,0.042
112,53700.281323,22.015,0.409
113,53700.282156,19.843,0.143
114,53700.282989,20.342,0.033
115,53705.266325,19.919,0.025
116,53705.267158,19.664,0.026
117,53705.267992,21.64,0.205
118,53705.268825,19.817,0.085
119,53705.269658,20.321,0.026
120,53975.351328,19.888,0.034
121,53975.352161,19.717,0.049
122,53975.352994,21.543,0.175
123,53975.353828,19.768,0.102
124,53975.354661,20.31,0.034
125,53990.364149,19.953,0.695
126,53990.364983,20.051,0.89
127,53990.365816,21.664,0.516
128,53990.366649,19.918,0.338
129,53990.367483,20.454,0.382
130,53994.374356,19.847,0.035
131,53994.375189,19.775,0.039
132,53994.376022,22.084,0.303
133,53994.376856,19.718,0.099
134,53994.377689,20.286,0.106
135,53996.35808,19.823,0.458
136,53996.358914,19.698,0.571
137,53996.359747,-99.0,0.268
138,53996.36058,19.904,0.314
139,53996.361414,20.328,0.496
140,54010.312245,19.857,0.032
141,54010.313079,19.677,0.029
142,54010.313912,21.549,0.127
143,54010.314745,-99.0,0.082
144,54010.315579,20.244,0.03
145,54020.310994,20.037,0.806
146,54020.311827,19.926,0.686
147,54020.312661,21.481,0.438
148,54020.313494,19.808,0.714
149,54020.314327,20.539,0.712
150,54024.392615,19.973,0.536
151,54024.393448,19.757,0.596
152,54024.394282,22.111,0.434
153,54024.395115,20.006,0.43
154,54024.395948,20.352,0.558
155,54028.380964,19.928,0.71
156,54028.381798,19.781,0.509
157,54028.382631,21.676,0.266
158,54028.383464,19.84,0.498
159,54028.384298,20.346,0.519
160,54030.30456,19.888,0.029
161,54030.305393,19.731,0.088
162,54030.306226,21.492,0.134
163,54030.30706,19.813,0.099
164,54030.307893,20.303,0.033
165,54037.285807,20.05,0.043
166,54037.28664,19.636,0.109
167,54037.287474,21.429,0.126
168,54037.288307,-99.0,0.072
169,54037.28914,20.302,0.028
170,54040.300405,20.008,0.418
171,54040.301239,19.719,0.657
172,54040.302072,21.36,0.408
173,54040.302905,20.004,0.132
174,54040.303739,20.405,0.176
175,54053.291056,19.98,0.625
176,54053.291889,19.708,0.45
177,54053.292722,21.615,0.185
178,54053.293556,19.876,0.718
179,54053.294389,20.284,0.5
180,54056.29281,19.977,0.542
181,54056.293644,19.741,0.628
182,54056.294477,21.734,0.258
183,54056.29531,20.425,0.332
184,54056.296144,20.342,0.517
185,54059.287012,20.054,0.544
186,54059.287846,19.879,0.563
187,54059.288679,22.932,0.816
188,54059.289512,19.752,0.438
189,54059.290346,20.6,0.665
190,54062.291928,19.953,0.426
191,54062.292762,19.722,0.097
192,54062.293595,21.462,0.457
193,54062.294428,19.598,0.092
194,54062.295262,20.328,0.435
195,54357.330218,19.871,0.081
196,54357.331051,19.67,0.102
197,54357.331884,21.35,0.118
198,54357.332718,19.975,0.089
199,54357.333551,20.262,0.053
200,54359.361956,19.889,0.615
201,54359.362789,19.819,0.686
202,54359.363623,21.985,0.334
203,54359.364456,20.237,1.239
204,54359.365289,20.715,0.675
205,54362.380019,19.867,0.025
206,54362.380852,19.785,0.036
207,54362.381685,21.419,0.127
208,54362.382519,19.662,0.077
209,54362.383352,20.305,0.027
210,54376.375103,19.891,0.541
211,54376.375936,19.704,0.582
212,54376.376769,21.268,0.154
213,54376.377603,19.736,0.2
214,54376.378436,20.301,0.235
215,54382.360337,20.251,0.832
216,54382.361171,20.036,0.797
217,54382.362004,22.188,0.488
218,54382.362837,19.958,0.549
219,54382.363671,20.447,0.603
220,54385.378033,19.846,0.57
221,54385.378866,19.698,0.483
222,54385.3797,21.639,0.152
223,54385.380533,19.729,0.071
224,54385.381366,20.306,0.273
225,54390.371052,-99.0,0.518
226,54390.371885,-99.0,99.999
227,54390.372719,21.308,0.214
228,54390.373552,20.161,0.683
229,54390.374385,20.374,0.556
230,54402.371742,20.308,0.768
231,54402.372575,19.704,0.566
232,54402.373408,21.02,0.413
233,54402.374242,19.91,0.465
234,54402.375075,20.703,0.585
