Unnamed: 0,mjd,mag,magerr
0,51075.355338,18.794,0.01
1,51075.356171,18.267,0.01
2,51075.357005,23.407,0.703
3,51075.357838,17.966,0.024
4,51075.358671,20.146,0.02
5,51819.410183,18.765,0.01
6,51819.411016,18.222,0.009
7,51819.41185,23.094,0.567
8,51819.412683,17.9,0.021
9,51819.413516,20.052,0.02
10,52971.188069,19.34,0.017
11,52971.188902,18.424,0.01
12,52971.189736,26.186,0.516
13,52971.190569,18.079,0.022
14,52971.191402,20.298,0.022
15,53296.301228,-99.0,0.046
16,53296.302062,18.288,0.017
17,53296.302895,22.726,0.655
18,53296.303728,17.939,0.029
19,53296.304562,-99.0,0.026
20,53352.168219,19.274,0.017
21,53352.169052,18.335,0.011
22,53352.169886,27.3,0.223
23,53352.170719,18.081,0.026
24,53352.171552,20.332,0.025
25,53634.325986,19.721,0.05
26,53634.326819,18.467,0.015
27,53634.327653,28.328,0.306
28,53634.328486,18.225,0.034
29,53634.329319,-99.0,0.097
30,53655.30353,19.05,0.016
31,53655.304363,18.284,0.011
32,53655.305197,26.841,0.42
33,53655.30603,17.933,0.028
34,53655.306863,20.291,0.03
35,53664.328487,18.77,0.029
36,53664.32932,18.337,0.027
37,53664.330154,26.622,0.677
38,53664.330987,17.969,0.042
39,53664.33182,20.231,0.082
40,53665.292139,-99.0,0.031
41,53665.292972,-99.0,0.027
42,53665.293806,-99.0,1.083
43,53665.294639,-99.0,0.091
44,53665.295472,-99.0,0.186
45,53676.361435,18.864,0.012
46,53676.362268,18.272,0.01
47,53676.363102,26.136,0.541
48,53676.363935,17.89,0.022
49,53676.364768,20.288,0.025
50,53681.324844,18.865,0.012
51,53681.325677,18.211,0.01
52,53681.326511,26.73,0.285
53,53681.327344,17.88,0.021
54,53681.328177,20.193,0.021
55,53694.297777,20.578,0.108
56,53694.29861,18.742,0.024
57,53694.299444,29.105,0.167
58,53694.300277,18.747,0.08
59,53694.30111,20.535,0.093
60,53697.281868,18.978,0.016
61,53697.282701,18.309,0.011
62,53697.283535,26.957,0.314
63,53697.284368,17.961,0.025
64,53697.285201,20.256,0.037
65,53975.352641,19.025,0.019
66,53975.353474,18.357,0.021
67,53975.354307,-99.0,99.999
68,53975.355141,17.918,0.026
69,53975.355974,20.231,0.026
70,53989.362466,18.742,0.018
71,53989.363299,18.239,0.012
72,53989.364133,23.147,9.111
73,53989.364966,17.927,0.022
74,53989.365799,20.042,0.05
75,53990.365354,18.972,0.014
76,53990.366187,18.337,0.017
77,53990.367021,100.007,99.999
78,53990.367854,17.965,0.026
79,53990.368687,20.281,0.037
80,53994.375636,18.908,0.027
81,53994.37647,18.226,0.016
82,53994.377303,99.985,99.999
83,53994.378136,17.815,0.021
84,53994.37897,20.181,0.024
85,53996.359277,19.086,0.02
86,53996.36011,18.362,0.034
87,53996.360944,100.007,99.999
88,53996.361777,18.049,0.027
89,53996.36261,20.122,0.027
90,54010.31336,18.794,0.016
91,54010.314194,18.258,0.023
92,54010.315027,23.233,1.053
93,54010.31586,17.904,0.02
94,54010.316694,20.101,0.027
95,54012.30623,18.766,0.019
96,54012.307063,18.282,0.017
97,54012.307896,100.017,99.999
98,54012.30873,17.891,0.025
99,54012.309563,20.173,0.038
100,54020.312199,18.836,0.019
101,54020.313032,18.296,0.021
102,54020.313866,99.988,99.999
103,54020.314699,18.007,0.032
104,54020.315532,20.321,0.038
105,54024.393753,19.339,0.024
106,54024.394586,18.53,0.022
107,54024.395419,99.989,99.999
108,54024.396253,18.255,0.036
109,54024.397086,20.555,0.042
110,54028.382091,18.852,0.019
111,54028.382924,18.273,0.016
112,54028.383757,99.98,99.999
113,54028.384591,17.863,0.026
114,54028.385424,20.308,0.029
115,54030.305787,18.791,0.017
116,54030.30662,18.232,0.018
117,54030.307454,100.014,99.999
118,54030.308287,17.925,0.028
