Unnamed: 0,mjd,mag,magerr
0,51075.363316,17.618,0.006
1,51075.364149,17.057,0.005
2,51075.364983,21.765,0.166
3,51075.365816,16.736,0.01
4,51075.366649,18.921,0.009
5,52170.383965,17.627,0.006
6,52170.384798,17.063,0.006
7,52170.385632,21.701,0.17
8,52170.386465,16.74,0.01
9,52170.387298,18.912,0.009
10,52196.382505,17.614,0.006
11,52196.383338,17.065,0.005
12,52196.384172,21.672,0.208
13,52196.385005,16.746,0.01
14,52196.385838,18.918,0.01
15,52207.349313,17.623,0.006
16,52207.350146,17.074,0.006
17,52207.35098,21.575,0.174
18,52207.351813,16.737,0.01
19,52207.352646,18.924,0.01
20,52224.27748,17.617,0.006
21,52224.278313,17.059,0.006
22,52224.279147,21.356,0.135
23,52224.27998,16.742,0.01
24,52224.280813,18.919,0.009
25,52225.227117,17.618,0.006
26,52225.22795,17.056,0.005
27,52225.228784,21.599,0.158
28,52225.229617,16.758,0.01
29,52225.23045,18.933,0.009
30,52231.2629,17.61,0.006
31,52231.263733,17.058,0.006
32,52231.264567,21.706,0.174
33,52231.2654,16.748,0.01
34,52231.266233,18.933,0.009
35,52234.233989,17.615,0.006
36,52234.234822,17.055,0.006
37,52234.235656,21.473,0.153
38,52234.236489,16.743,0.009
39,52234.237322,-99.0,0.009
40,52261.197345,17.601,0.006
41,52261.198178,17.073,0.005
42,52261.199012,21.709,0.214
43,52261.199845,16.758,0.01
44,52261.200678,18.903,0.01
45,52282.123973,17.608,0.006
46,52282.124806,17.06,0.005
47,52282.12564,21.413,0.15
48,52282.126473,16.742,0.01
49,52282.127306,18.916,0.01
50,52287.077837,17.625,0.006
51,52287.07867,17.061,0.005
52,52287.079504,21.381,0.138
53,52287.080337,16.755,0.01
54,52287.08117,18.944,0.01
55,52552.39654,17.606,0.006
56,52552.397373,17.046,0.006
57,52552.398207,21.554,0.16
58,52552.39904,16.726,0.009
59,52552.399873,18.92,0.009
60,52557.370899,17.617,0.006
61,52557.371732,17.074,0.006
62,52557.372566,21.499,0.171
63,52557.373399,16.731,0.01
64,52557.374232,18.922,0.01
65,52578.266985,17.624,0.006
66,52578.267818,17.064,0.005
67,52578.268652,21.425,0.133
68,52578.269485,16.746,0.01
69,52578.270318,18.95,0.01
70,52908.345465,17.616,0.006
71,52908.346298,17.063,0.005
72,52908.347132,21.506,0.148
73,52908.347965,16.761,0.01
74,52908.348798,18.918,0.009
75,52912.324903,17.613,0.006
76,52912.325736,17.063,0.005
77,52912.32657,21.627,0.189
78,52912.327403,16.743,0.01
79,52912.328236,18.933,0.01
80,52934.277369,17.621,0.006
81,52934.278202,17.05,0.005
82,52934.279036,21.644,0.208
83,52934.279869,16.753,0.01
84,52934.280702,18.937,0.009
85,52936.273294,17.621,0.006
86,52936.274127,17.066,0.006
87,52936.274961,21.547,0.153
88,52936.275794,16.748,0.01
89,52936.276627,18.906,0.009
90,53270.33737,-99.0,0.021
91,53270.338203,-99.0,0.014
92,53270.339037,-99.0,1.44
93,53270.33987,-99.0,0.082
94,53270.340703,-99.0,0.107
95,53272.387295,17.634,0.006
96,53272.388128,17.06,0.005
97,53272.388962,21.57,0.209
98,53272.389795,16.746,0.01
99,53272.390628,18.872,0.01
100,53286.356014,17.629,0.006
101,53286.356847,17.071,0.005
102,53286.357681,21.549,0.219
103,53286.358514,16.734,0.009
104,53286.359347,18.921,0.01
105,53288.314506,17.626,0.006
106,53288.315339,17.067,0.006
107,53288.316173,21.635,0.171
108,53288.317006,16.763,0.009
109,53288.317839,18.922,0.009
110,53294.362181,17.616,0.006
111,53294.363014,17.076,0.005
112,53294.363848,21.576,0.224
113,53294.364681,16.742,0.01
114,53294.365514,18.951,0.011
115,53296.309249,17.631,0.017
116,53296.310082,17.039,0.026
117,53296.310916,-99.0,0.216
118,53296.311749,16.763,0.026
119,53296.312582,18.93,0.017
120,53298.358958,17.608,0.007
121,53298.359791,17.081,0.006
122,53298.360625,21.375,0.185
123,53298.361458,16.777,0.011
124,53298.362291,18.928,0.01
125,53302.310174,17.628,0.007
126,53302.311007,17.064,0.006
127,53302.311841,21.39,0.3
128,53302.312674,16.731,0.01
129,53302.313507,18.938,0.016
130,53312.26571,17.605,0.018
131,53312.266543,17.058,0.017
132,53312.267377,-99.0,0.303
133,53312.26821,16.758,0.016
134,53312.269043,18.961,0.021
135,53314.266905,17.626,0.006
136,53314.267738,17.075,0.005
137,53314.268572,21.856,0.232
138,53314.269405,16.763,0.01
139,53314.270238,18.956,0.01
140,53319.254702,17.624,0.006
141,53319.255535,17.076,0.005
142,53319.256369,21.592,0.239
143,53319.257202,16.744,0.011
144,53319.258035,18.916,0.011
145,53616.371262,17.638,0.006
146,53616.372095,17.063,0.005
147,53616.372929,21.457,0.225
148,53616.373762,16.753,0.01
149,53616.374595,18.921,0.01
150,53626.347688,-99.0,0.009
151,53626.348521,17.089,0.005
152,53626.349355,21.783,0.271
153,53626.350188,16.743,0.01
154,53626.351021,18.919,0.01
155,53628.332553,17.621,0.007
156,53628.333386,17.081,0.005
157,53628.33422,21.747,0.415
158,53628.335053,16.743,0.01
159,53628.335886,18.921,0.016
160,53637.334171,17.619,0.007
161,53637.335004,17.055,0.005
162,53637.335838,21.031,0.193
163,53637.336671,16.761,0.01
164,53637.337504,18.922,0.013
165,53639.379547,17.619,0.006
166,53639.38038,17.066,0.006
167,53639.381214,21.58,0.191
168,53639.382047,16.756,0.009
169,53639.38288,18.917,0.01
170,53641.378715,17.615,0.006
171,53641.379548,17.063,0.006
172,53641.380382,21.542,0.168
173,53641.381215,16.753,0.01
174,53641.382048,18.93,0.01
175,53657.337597,17.616,0.01
176,53657.33843,17.078,0.006
177,53657.339264,21.439,0.635
178,53657.340097,16.781,0.014
179,53657.34093,18.896,0.026
180,53663.322145,17.616,0.007
181,53663.322978,17.061,0.006
182,53663.323812,-99.0,0.353
183,53663.324645,16.745,0.01
184,53663.325478,18.909,0.015
185,53665.300116,-99.0,0.018
186,53665.300949,-99.0,0.022
187,53665.301783,-99.0,1.424
188,53665.302616,-99.0,0.068
189,53665.303449,-99.0,0.94
190,53666.39224,17.629,0.007
191,53666.393073,17.055,0.006
192,53666.393907,21.543,0.365
193,53666.39474,16.741,0.01
194,53666.395573,18.895,0.014
195,53668.311746,17.615,0.006
196,53668.312579,17.066,0.005
197,53668.313413,21.671,0.317
198,53668.314246,16.745,0.011
199,53668.315079,18.911,0.012
200,53670.316598,17.62,0.006
201,53670.317431,17.066,0.005
202,53670.318265,21.61,0.214
203,53670.319098,16.739,0.01
204,53670.319931,18.933,0.01
205,53673.284585,17.617,0.006
206,53673.285418,17.055,0.005
207,53673.286252,21.592,0.171
208,53673.287085,16.745,0.009
209,53673.287918,18.906,0.009
210,53675.281472,17.616,0.006
211,53675.282305,17.069,0.005
212,53675.283139,21.475,0.151
213,53675.283972,16.734,0.01
214,53675.284805,18.922,0.009
215,53677.302503,17.612,0.006
216,53677.303336,17.055,0.005
217,53677.30417,21.369,0.146
218,53677.305003,16.733,0.009
219,53677.305836,18.92,0.009
220,53680.289169,17.63,0.006
221,53680.290002,17.071,0.005
222,53680.290836,21.48,0.158
223,53680.291669,16.752,0.009
224,53680.292502,18.945,0.009
225,53686.288602,17.612,0.008
226,53686.289435,17.068,0.006
227,53686.290269,21.484,0.588
228,53686.291102,16.734,0.011
229,53686.291935,18.913,0.023
230,53693.291064,17.618,0.007
231,53693.291897,17.059,0.006
232,53693.292731,21.657,0.445
233,53693.293564,16.718,0.01
234,53693.294397,18.936,0.017
235,53698.288453,17.621,0.006
236,53698.289286,17.058,0.006
237,53698.29012,21.421,0.161
238,53698.290953,16.77,0.01
239,53698.291786,18.91,0.01
240,53704.274385,17.618,0.006
241,53704.275218,17.072,0.005
242,53704.276052,22.004,0.361
243,53704.276885,16.734,0.01
244,53704.277718,18.93,0.01
245,53989.370494,17.619,0.014
246,53989.371327,17.072,0.014
247,53989.37216,21.63,0.445
248,53989.372994,16.74,0.011
249,53989.373827,18.916,0.019
250,53995.385071,17.609,0.011
251,53995.385904,17.067,0.021
252,53995.386737,21.398,0.111
253,53995.387571,16.757,0.013
254,53995.388404,18.901,0.025
255,54000.345875,17.631,0.014
256,54000.346709,17.012,0.055
257,54000.347542,21.389,0.166
258,54000.348375,16.775,0.013
259,54000.349209,18.923,0.019
260,54006.292792,-99.0,0.027
261,54006.293626,-99.0,0.083
262,54006.294459,-99.0,4.577
263,54006.295292,-99.0,0.043
264,54006.296126,-99.0,0.022
265,54007.396076,17.632,0.028
266,54007.396909,17.072,0.026
267,54007.397742,21.148,0.128
268,54007.398576,16.747,0.016
269,54007.399409,18.929,0.038
270,54009.319793,17.617,0.016
271,54009.320626,17.076,0.012
272,54009.321459,21.615,0.161
273,54009.322293,16.77,0.016
274,54009.323126,18.939,0.022
275,54011.384259,17.628,0.016
276,54011.385093,17.09,0.018
277,54011.385926,21.612,0.134
278,54011.386759,16.747,0.02
279,54011.387593,18.908,0.019
280,54025.3833,17.658,0.014
281,54025.384133,17.073,0.019
282,54025.384967,21.521,0.209
283,54025.3858,16.773,0.017
284,54025.386633,18.891,0.018
285,54029.313626,17.605,0.025
286,54029.314459,17.078,0.013
287,54029.315292,21.453,0.143
288,54029.316126,16.768,0.016
289,54029.316959,18.926,0.023
290,54348.38109,17.622,0.011
291,54348.381924,17.041,0.012
292,54348.382757,21.482,0.193
293,54348.38359,16.749,0.015
294,54348.384424,18.951,0.013
295,54358.336937,17.631,0.024
296,54358.33777,17.047,0.04
297,54358.338603,21.736,0.29
298,54358.339437,16.738,0.023
299,54358.34027,18.923,0.025
300,54359.3309,17.645,0.019
301,54359.331733,17.108,0.024
302,54359.332566,20.559,0.333
303,54359.3334,16.759,0.033
304,54359.334233,18.903,0.027
305,54365.369927,17.619,0.012
306,54365.37076,17.07,0.015
307,54365.371594,21.464,0.124
308,54365.372427,16.758,0.014
309,54365.37326,18.92,0.021
310,54381.389488,17.638,0.02
311,54381.390321,17.057,0.022
312,54381.391155,22.064,0.292
313,54381.391988,16.736,0.013
314,54381.392821,18.892,0.019
315,54384.396165,17.604,0.015
316,54384.396998,17.059,0.019
317,54384.397831,21.445,0.156
318,54384.398665,16.76,0.022
319,54384.399498,18.913,0.028
320,54386.381843,17.621,0.019
321,54386.382676,17.034,0.024
322,54386.383509,21.33,0.144
323,54386.384343,16.74,0.022
324,54386.385176,18.917,0.019
325,54388.386082,17.615,0.012
326,54388.386915,17.046,0.011
327,54388.387748,21.57,0.206
328,54388.388582,16.739,0.013
329,54388.389415,18.914,0.018
330,54392.383618,18.15,0.03
331,54392.384452,17.407,0.027
332,54392.385285,23.296,1.281
333,54392.386118,17.179,0.027
334,54392.386952,19.821,0.051
335,54403.299857,-99.0,0.02
336,54403.30069,17.074,0.016
337,54403.301524,21.344,0.608
338,54403.302357,-99.0,0.03
339,54403.30319,18.921,0.049
340,54404.357385,17.626,0.014
341,54404.358218,17.082,0.009
342,54404.359052,22.253,0.597
343,54404.359885,16.763,0.012
344,54404.360718,18.925,0.019
345,54405.355469,17.616,0.015
346,54405.356302,17.075,0.017
347,54405.357136,21.717,0.316
348,54405.357969,16.745,0.013
349,54405.358802,18.934,0.02
350,54406.29372,17.616,0.015
351,54406.294554,17.074,0.017
352,54406.295387,21.357,0.126
353,54406.29622,16.762,0.018
354,54406.297054,18.899,0.022
355,54412.319463,17.625,0.015
356,54412.320296,17.067,0.013
357,54412.32113,21.338,0.19
358,54412.321963,16.733,0.015
359,54412.322796,18.922,0.019
