Unnamed: 0,mjd,mag,magerr
0,51075.306379,20.343,0.031
1,51075.307212,20.378,0.08
2,51075.308046,21.158,0.111
3,51075.308879,20.429,0.207
4,51075.309712,20.497,0.027
5,52196.306882,20.201,0.025
6,52196.307715,20.117,0.029
7,52196.308549,21.12,0.115
8,52196.309382,19.794,0.084
9,52196.310215,20.358,0.022
10,52197.319989,20.216,0.025
11,52197.320822,20.088,0.028
12,52197.321656,20.921,0.098
13,52197.322489,19.742,0.087
14,52197.323322,20.273,0.021
15,52225.170185,20.182,0.028
16,52225.171018,20.075,0.032
17,52225.171852,21.013,0.102
18,52225.172685,19.893,0.103
19,52225.173518,20.301,0.022
20,52231.20597,20.171,0.023
21,52231.206803,20.085,0.026
22,52231.207637,20.953,0.098
23,52231.20847,19.829,0.076
24,52231.209303,20.289,0.02
25,52253.19214,20.139,0.037
26,52253.192973,20.117,0.045
27,52253.193807,21.014,0.214
28,52253.19464,20.155,0.186
29,52253.195473,20.295,0.032
30,52557.313972,20.111,0.027
31,52557.314805,20.081,0.034
32,52557.315639,21.067,0.125
33,52557.316472,19.818,0.094
34,52557.317305,20.292,0.023
35,52578.210056,20.069,0.023
36,52578.210889,20.094,0.03
37,52578.211723,21.136,0.113
38,52578.212556,20.209,0.123
39,52578.213389,20.28,0.022
40,52908.288537,20.122,0.027
41,52908.28937,20.135,0.036
42,52908.290204,20.962,0.113
43,52908.291037,20.058,0.127
44,52908.29187,20.265,0.023
45,52911.302324,20.167,0.028
46,52911.303157,20.074,0.037
47,52911.303991,20.997,0.139
48,52911.304824,20.108,0.171
49,52911.305657,20.321,0.026
50,52930.179696,20.188,0.029
51,52930.180529,20.1,0.036
52,52930.181363,21.206,0.149
53,52930.182196,20.031,0.121
54,52930.183029,20.369,0.028
55,52934.220438,20.195,0.032
56,52934.221271,20.103,0.039
57,52934.222105,21.158,0.146
58,52934.222938,20.008,0.124
59,52934.223771,20.406,0.026
60,52936.216366,20.175,0.025
61,52936.217199,20.156,0.03
62,52936.218033,20.966,0.1
63,52936.218866,20.042,0.1
64,52936.219699,20.394,0.022
65,52962.141886,20.188,0.028
