Unnamed: 0,mjd,mag,magerr
0,51075.310303,19.636,0.018
1,51075.311136,19.465,0.023
2,51075.31197,21.265,0.116
3,51075.312803,19.214,0.089
4,51075.313636,20.0,0.019
5,52196.310848,19.656,0.016
6,52196.311681,19.512,0.019
7,52196.312515,21.587,0.148
8,52196.313348,19.335,0.065
9,52196.314181,20.047,0.017
10,52197.323956,19.65,0.017
11,52197.324789,19.489,0.021
12,52197.325623,21.347,0.143
13,52197.326456,19.304,0.082
14,52197.327289,20.039,0.019
15,52225.17411,19.717,0.019
16,52225.174943,19.484,0.021
17,52225.175777,21.794,0.192
18,52225.17661,19.224,0.07
19,52225.177443,20.04,0.017
20,52231.209894,19.659,0.016
21,52231.210727,19.5,0.018
22,52231.211561,21.478,0.129
23,52231.212394,19.19,0.054
24,52231.213227,20.033,0.016
25,52253.196063,19.689,0.027
26,52253.196896,19.428,0.028
27,52253.19773,21.995,0.423
28,52253.198563,19.301,0.1
29,52253.199396,20.05,0.024
30,52557.317894,19.626,0.017
31,52557.318727,19.496,0.021
32,52557.319561,21.461,0.156
33,52557.320394,19.255,0.067
34,52557.321227,20.016,0.018
35,52578.21398,19.641,0.017
36,52578.214813,19.463,0.02
37,52578.215647,21.651,0.167
38,52578.21648,19.149,0.06
39,52578.217313,19.999,0.017
40,52908.292462,19.727,0.019
41,52908.293295,19.57,0.023
42,52908.294129,21.737,0.197
43,52908.294962,19.268,0.077
44,52908.295795,20.1,0.02
45,52911.306247,19.807,0.022
46,52911.30708,19.582,0.026
47,52911.307914,21.902,0.258
48,52911.308747,19.26,0.086
49,52911.30958,20.173,0.024
50,52930.183621,19.793,0.03
51,52930.184454,19.687,0.03
52,52930.185288,21.35,0.17
53,52930.186121,19.404,0.098
54,52930.186954,-99.0,0.023
55,52934.224363,19.758,0.023
56,52934.225196,19.55,0.028
57,52934.22603,21.602,0.233
58,52934.226863,19.268,0.096
59,52934.227696,20.105,0.022
60,52936.220289,19.758,0.017
61,52936.221122,19.606,0.02
62,52936.221956,21.397,0.127
63,52936.222789,19.342,0.064
64,52936.223622,20.167,0.02
65,52962.145811,19.804,0.02
66,52962.146644,19.608,0.024
67,52962.147478,21.861,0.196
68,52962.148311,19.388,0.08
69,52962.149144,20.183,0.02
70,53270.284398,19.958,0.022
71,53270.285231,19.779,0.028
72,53270.286065,21.892,0.198
73,53270.286898,19.564,0.08
74,53270.287731,20.305,0.019
75,53272.334293,19.903,0.026
76,53272.335126,19.784,0.029
77,53272.33596,22.352,0.378
78,53272.336793,19.343,0.072
79,53272.337626,20.265,0.029
80,53286.303012,19.93,0.029
81,53286.303845,19.749,0.034
82,53286.304679,22.14,0.465
83,53286.305512,19.672,0.165
84,53286.306345,20.302,0.038
85,53288.261503,19.929,0.025
86,53288.262336,19.717,0.029
87,53288.26317,22.572,0.579
88,53288.264003,19.405,0.088
89,53288.264836,20.282,0.023
90,53294.309178,19.9,0.023
91,53294.310011,19.735,0.027
92,53294.310845,21.58,0.224
93,53294.311678,19.412,0.09
94,53294.312511,20.273,0.025
95,53302.257171,19.892,0.035
96,53302.258004,19.725,0.033
97,53302.258838,21.811,0.466
98,53302.259671,19.484,0.091
99,53302.260504,20.172,0.042
100,53312.212709,19.913,0.029
101,53312.213542,19.775,0.033
102,53312.214375,21.561,0.217
103,53312.215209,19.396,0.086
104,53312.216042,20.31,0.028
105,53314.213898,19.966,0.024
106,53314.214731,19.723,0.028
107,53314.215565,21.782,0.203
108,53314.216398,19.291,0.075
109,53314.217231,20.262,0.021
110,53616.318261,19.902,0.027
111,53616.319094,19.764,0.035
112,53616.319928,21.42,0.242
113,53616.320761,19.544,0.117
114,53616.321594,20.257,0.026
115,53623.308474,19.907,0.025
116,53623.309307,-99.0,0.079
117,53623.310141,-99.0,0.334
118,53623.310974,-99.0,0.647
119,53623.311807,-99.0,0.032
120,53626.294687,19.956,0.025
121,53626.29552,19.771,0.029
122,53626.296354,21.851,0.244
123,53626.297187,19.305,0.078
124,53626.29802,20.283,0.026
125,53628.279552,19.884,0.034
126,53628.280385,19.737,0.036
127,53628.281219,22.993,1.478
128,53628.282052,19.404,0.092
129,53628.282885,20.303,0.054
130,53637.281168,19.854,0.037
