Unnamed: 0,mjd,mag,magerr
0,51075.363491,18.267,0.007
1,51075.364324,17.812,0.008
2,51075.365158,19.981,0.037
3,51075.365991,17.501,0.017
4,51075.366824,18.929,0.01
5,51819.418321,18.361,0.008
6,51819.419154,17.91,0.008
7,51819.419988,20.006,0.058
8,51819.420821,17.562,0.017
9,51819.421654,19.091,0.011
10,52170.384151,18.416,0.008
11,52170.384984,17.976,0.008
12,52170.385818,20.091,0.042
13,52170.386651,17.606,0.017
14,52170.387484,19.128,0.011
15,52196.382689,18.4,0.008
16,52196.383522,17.947,0.008
17,52196.384356,20.056,0.045
18,52196.385189,17.64,0.019
19,52196.386022,19.1,0.011
20,52207.349463,18.422,0.009
21,52207.350296,17.972,0.008
22,52207.35113,20.08,0.045
23,52207.351963,17.652,0.017
24,52207.352796,19.095,0.011
25,52224.277659,18.416,0.008
26,52224.278492,17.947,0.008
27,52224.279326,19.95,0.04
28,52224.280159,17.591,0.016
29,52224.280992,19.097,0.011
30,52225.22729,18.414,0.008
31,52225.228123,17.96,0.008
32,52225.228957,20.102,0.041
33,52225.22979,17.625,0.017
34,52225.230623,19.085,0.011
35,52225.243011,18.375,0.009
36,52225.243844,17.929,0.007
37,52225.244678,20.087,0.052
38,52225.245511,17.594,0.016
39,52225.246344,19.076,0.01
40,52231.263074,18.428,0.008
41,52231.263907,17.954,0.008
42,52231.264741,20.052,0.041
43,52231.265574,17.636,0.016
44,52231.266407,19.067,0.011
45,52234.234162,18.4,0.008
46,52234.234995,17.966,0.008
47,52234.235829,19.974,0.04
48,52234.236662,17.613,0.015
49,52234.237495,19.085,0.011
50,52261.197519,18.388,0.009
51,52261.198352,17.915,0.008
52,52261.199186,20.112,0.047
53,52261.200019,17.564,0.017
54,52261.200852,19.097,0.012
55,52282.124147,18.391,0.009
56,52282.12498,17.926,0.008
57,52282.125814,19.992,0.043
58,52282.126647,17.584,0.018
59,52282.12748,19.058,0.011
60,52287.07801,18.401,0.008
61,52287.078843,17.969,0.008
62,52287.079677,20.181,0.045
63,52287.08051,17.605,0.016
64,52287.081343,19.062,0.011
65,52288.077431,18.36,0.009
66,52288.078264,17.923,0.007
67,52288.079098,-99.0,0.05
68,52288.079931,17.577,0.015
69,52288.080764,19.057,0.01
70,52551.350725,18.408,0.009
71,52551.351558,17.985,0.008
72,52551.352392,20.081,0.063
73,52551.353225,17.581,0.019
74,52551.354058,19.152,0.011
75,52552.396714,18.458,0.009
76,52552.397547,17.986,0.008
77,52552.398381,20.147,0.044
78,52552.399214,17.631,0.017
79,52552.400047,19.221,0.012
80,52557.371073,18.46,0.009
81,52557.371906,17.999,0.009
82,52557.37274,20.102,0.049
83,52557.373573,17.655,0.019
84,52557.374406,19.157,0.012
85,52558.3836,18.424,0.009
86,52558.384433,17.97,0.008
87,52558.385267,20.151,0.052
88,52558.3861,17.604,0.015
89,52558.386933,19.147,0.011
90,52577.271106,18.438,0.008
91,52577.271939,17.981,0.007
92,52577.272773,20.24,0.056
93,52577.273606,17.645,0.016
94,52577.274439,19.15,0.011
