Unnamed: 0,mjd,mag,magerr
0,51081.34367,17.179,0.005
1,51081.344503,16.525,0.004
2,51081.345337,20.959,0.114
3,51081.34617,16.165,0.007
4,51081.347003,18.577,0.009
5,51819.414817,17.199,0.005
6,51819.41565,16.533,0.005
7,51819.416484,21.035,0.106
8,51819.417317,16.161,0.008
9,51819.41815,18.548,0.008
10,52288.073905,17.181,0.005
11,52288.074738,16.528,0.005
12,52288.075572,21.079,0.087
13,52288.076405,16.168,0.007
14,52288.077238,18.585,0.008
15,52551.347198,17.188,0.005
16,52551.348031,16.527,0.004
17,52551.348865,21.021,0.119
18,52551.349698,16.16,0.007
19,52551.350531,18.548,0.008
20,52558.380073,17.187,0.006
21,52558.380906,16.524,0.006
22,52558.38174,21.245,0.094
23,52558.382573,16.166,0.008
24,52558.383406,18.575,0.008
25,52576.213123,17.191,0.005
26,52576.213956,16.525,0.005
27,52576.21479,21.262,0.109
28,52576.215623,16.189,0.007
29,52576.216456,18.571,0.008
30,52577.267579,17.188,0.005
31,52577.268412,16.525,0.005
32,52577.269246,21.12,0.093
33,52577.270079,16.162,0.007
34,52577.270912,18.57,0.008
35,52910.351536,17.075,0.005
36,52910.352369,16.53,0.005
37,52910.353203,21.136,0.102
38,52910.354036,16.163,0.007
39,52910.354869,18.588,0.008
40,52935.278704,17.19,0.005
41,52935.279537,16.535,0.005
42,52935.280371,21.105,0.103
43,52935.281204,16.164,0.008
44,52935.282037,18.584,0.008
45,52963.201778,17.194,0.006
46,52963.202611,16.515,0.005
47,52963.203445,21.086,0.078
48,52963.204278,16.153,0.007
49,52963.205111,18.576,0.008
50,52971.192694,17.18,0.005
51,52971.193527,16.522,0.004
52,52971.194361,21.201,0.104
53,52971.195194,16.166,0.007
54,52971.196027,18.585,0.008
55,53351.124081,17.179,0.005
56,53351.124914,16.516,0.005
57,53351.125748,21.003,0.093
58,53351.126581,16.169,0.007
59,53351.127414,18.542,0.008
60,53352.172845,17.187,0.005
61,53352.173678,16.531,0.005
62,53352.174512,21.448,0.142
63,53352.175345,16.155,0.007
64,53352.176178,18.562,0.008
65,53622.38114,17.181,0.005
66,53622.381973,-99.0,0.005
67,53622.382807,21.105,0.143
68,53622.38364,16.146,0.008
69,53622.384473,18.571,0.009
70,53634.33061,17.186,0.006
71,53634.331443,16.533,0.005
72,53634.332277,21.188,0.376
73,53634.33311,16.141,0.008
74,53634.333943,-99.0,0.021
75,53638.371946,17.179,0.005
76,53638.372779,16.532,0.005
77,53638.373613,21.094,0.114
78,53638.374446,16.168,0.008
79,53638.375279,18.569,0.009
80,53640.335981,17.181,0.005
81,53640.336814,16.509,0.005
82,53640.337648,21.076,0.117
83,53640.338481,16.179,0.007
84,53640.339314,18.557,0.008
85,53655.308153,17.134,0.005
86,53655.308986,16.536,0.005
87,53655.30982,20.9,0.124
88,53655.310653,16.163,0.008
89,53655.311486,18.555,0.009
90,53664.333109,17.19,0.009
91,53664.333942,16.515,0.008
92,53664.334776,21.465,0.479
93,53664.335609,16.172,0.01
94,53664.336442,18.571,0.016
95,53669.292354,17.193,0.005
96,53669.293187,16.523,0.005
97,53669.294021,21.17,0.095
98,53669.294854,16.169,0.007
99,53669.295687,18.582,0.008
100,53671.377114,17.183,0.005
101,53671.377947,16.523,0.005
102,53671.378781,21.242,0.182
103,53671.379614,-99.0,0.008
104,53671.380447,18.558,0.009
105,53674.27659,17.165,0.005
106,53674.277423,16.536,0.005
107,53674.278257,20.869,0.113
108,53674.27909,16.183,0.008
109,53674.279923,18.566,0.009
110,53676.366057,17.19,0.005
111,53676.36689,16.519,0.005
112,53676.367724,-99.0,0.175
113,53676.368557,16.176,0.008
114,53676.36939,18.56,0.008
115,53679.337953,17.188,0.005
116,53679.338786,16.531,0.005
117,53679.33962,21.149,0.154
118,53679.340453,16.152,0.008
119,53679.341286,18.592,0.009
120,53681.329466,17.181,0.005
121,53681.330299,16.523,0.005
122,53681.331133,21.192,0.109
123,53681.331966,16.172,0.008
124,53681.332799,18.551,0.008
125,53685.288521,17.173,0.006
126,53685.289354,16.524,0.005
127,53685.290188,20.999,0.192
128,53685.291021,16.169,0.008
129,53685.291854,18.559,0.013
130,53694.302401,17.199,0.006
131,53694.303234,16.526,0.005
132,53694.304068,21.032,0.399
133,53694.304901,16.152,0.009
134,53694.305734,18.574,0.019
135,53697.286491,17.199,0.006
136,53697.287324,16.536,0.005
137,53697.288158,21.233,0.198
138,53697.288991,16.178,0.008
139,53697.289824,18.568,0.011
140,53700.285449,17.163,0.007
141,53700.286282,16.538,0.007
142,53700.287116,21.102,0.154
143,53700.287949,16.16,0.011
144,53700.288782,18.578,0.011
145,53705.272119,17.159,0.005
146,53705.272952,16.514,0.005
147,53705.273786,21.083,0.12
148,53705.274619,16.165,0.007
149,53705.275452,18.557,0.008
150,53975.357153,17.073,0.022
151,53975.357986,16.525,0.013
152,53975.358819,21.021,0.088
153,53975.359653,16.164,0.02
154,53975.360486,18.556,0.019
155,53990.369935,17.183,0.012
156,53990.370768,16.528,0.014
157,53990.371602,21.246,0.194
158,53990.372435,16.175,0.019
159,53990.373268,-99.0,0.048
160,53994.380148,17.169,0.014
161,53994.380982,16.52,0.013
162,53994.381815,20.983,0.085
163,53994.382648,16.16,0.02
164,53994.383482,18.554,0.021
165,53996.363856,17.171,0.015
166,53996.364689,16.524,0.018
167,53996.365523,20.999,0.091
168,53996.366356,16.167,0.012
169,53996.367189,18.61,0.022
170,54010.317961,17.173,0.015
171,54010.318794,16.516,0.017
172,54010.319628,21.071,0.072
173,54010.320461,16.155,0.02
174,54010.321294,18.551,0.02
175,54012.310865,17.188,0.015
176,54012.311698,16.53,0.017
177,54012.312531,21.063,0.182
178,54012.313365,16.169,0.015
179,54012.314198,18.572,0.015
180,54020.316786,17.089,0.017
181,54020.317619,16.516,0.007
182,54020.318453,21.277,0.17
183,54020.319286,16.164,0.012
184,54020.320119,18.57,0.014
185,54024.398383,17.205,0.016
186,54024.399216,16.502,0.016
187,54024.40005,21.034,0.197
188,54024.400883,16.155,0.023
189,54024.401716,18.569,0.039
190,54028.386724,17.136,0.036
191,54028.387557,16.507,0.027
192,54028.388391,21.177,0.137
193,54028.389224,16.164,0.019
194,54028.390057,18.552,0.03
195,54030.310342,17.18,0.016
196,54030.311175,16.514,0.012
197,54030.312008,21.09,0.083
198,54030.312842,16.167,0.014
199,54030.313675,18.559,0.015
200,54035.386106,17.186,0.025
201,54035.386939,16.473,0.02
202,54035.387772,20.951,0.154
203,54035.388606,16.168,0.019
204,54035.389439,18.574,0.019
205,54037.291589,17.18,0.016
206,54037.292422,16.515,0.02
207,54037.293255,20.965,0.075
208,54037.294089,16.167,0.019
209,54037.294922,18.558,0.022
210,54040.306112,17.181,0.016
211,54040.306946,16.535,0.013
212,54040.307779,21.102,0.164
213,54040.308612,16.189,0.013
214,54040.309446,18.567,0.025
215,54049.332532,17.181,0.022
216,54049.333365,16.515,0.017
217,54049.334199,20.743,0.209
218,54049.335032,16.151,0.012
219,54049.335865,18.572,0.021
220,54053.296844,17.186,0.022
221,54053.297677,16.515,0.017
222,54053.298511,21.217,0.116
223,54053.299344,16.17,0.021
224,54053.300177,18.58,0.025
225,54056.298549,17.176,0.029
226,54056.299383,16.503,0.034
227,54056.300216,20.925,0.133
228,54056.301049,16.142,0.018
229,54056.301883,18.537,0.026
230,54059.292799,17.158,0.029
231,54059.293632,16.484,0.023
232,54059.294465,21.165,0.133
233,54059.295299,16.154,0.027
234,54059.296132,18.589,0.052
235,54061.303942,17.17,0.024
236,54061.304776,16.522,0.014
237,54061.305609,20.977,0.142
238,54061.306442,16.143,0.011
239,54061.307276,18.569,0.035
240,54062.297687,17.179,0.017
241,54062.298521,16.519,0.016
242,54062.299354,21.015,0.093
243,54062.300187,16.178,0.015
244,54062.301021,18.556,0.022
245,54068.278294,17.175,0.016
246,54068.279127,16.527,0.01
247,54068.279961,20.878,0.17
248,54068.280794,16.171,0.02
249,54068.281627,18.605,0.023
250,54357.336041,17.145,0.023
251,54357.336874,16.519,0.02
252,54357.337708,20.996,0.075
253,54357.338541,16.159,0.022
254,54357.339374,18.572,0.026
255,54359.367748,17.169,0.018
256,54359.368581,16.518,0.016
257,54359.369415,21.084,0.111
258,54359.370248,16.133,0.013
259,54359.371081,18.578,0.014
260,54362.38586,17.171,0.019
261,54362.386693,16.512,0.016
262,54362.387526,21.019,0.074
263,54362.38836,16.178,0.017
264,54362.389193,18.565,0.025
265,54376.380987,17.187,0.019
266,54376.381821,16.515,0.013
267,54376.382654,21.326,0.125
268,54376.383487,16.167,0.015
269,54376.384321,18.552,0.014
270,54382.366045,17.148,0.014
271,54382.366878,16.514,0.011
272,54382.367712,21.152,0.141
273,54382.368545,16.193,0.017
274,54382.369378,18.581,0.02
275,54385.38382,17.157,0.016
276,54385.384653,16.51,0.01
277,54385.385486,21.229,0.094
278,54385.38632,16.167,0.015
279,54385.387153,18.549,0.02
280,54387.384381,17.2,0.013
281,54387.385215,16.507,0.012
282,54387.386048,21.041,0.144
283,54387.386881,16.204,0.017
284,54387.387715,18.562,0.051
285,54390.37676,-99.0,0.276
286,54390.377593,16.513,0.009
287,54390.378426,20.942,0.122
288,54390.37926,16.153,0.011
289,54390.380093,18.571,0.019
290,54391.385161,17.651,0.03
291,54391.385995,16.969,0.022
292,54391.386828,24.122,3.666
293,54391.387661,17.057,0.047
294,54391.388495,19.089,0.03
295,54402.377511,17.191,0.02
296,54402.378344,16.495,0.015
297,54402.379177,21.147,0.349
298,54402.380011,16.159,0.021
299,54402.380844,-99.0,0.02
