Unnamed: 0,mjd,mag,magerr
198,53668.311535,19.36,0.103
199,53668.312368,19.989,0.025
200,53670.313887,19.825,0.022
201,53670.31472,19.511,0.026
202,53670.315554,20.438,0.084
203,53670.316387,19.331,0.091
204,53670.31722,20.039,0.018
205,53673.281874,19.779,0.019
206,53673.282707,19.501,0.02
207,53673.283541,20.4,0.069
208,53673.284374,19.374,0.072
209,53673.285207,20.028,0.018
210,53675.278761,19.792,0.021
211,53675.279594,19.489,0.022
212,53675.280428,20.3,0.057
213,53675.281261,19.299,0.07
214,53675.282094,20.014,0.016
215,53677.299792,19.792,0.02
216,53677.300625,19.518,0.019
217,53677.301459,20.454,0.069
218,53677.302292,19.33,0.071
219,53677.303125,20.052,0.017
220,53680.286459,19.771,0.019
221,53680.287292,19.499,0.019
222,53680.288126,20.424,0.067
223,53680.288959,19.265,0.056
224,53680.289792,20.001,0.017
225,53686.285892,19.809,0.047
226,53686.286725,19.579,0.045
227,53686.287559,20.703,0.269
228,53686.288392,19.363,0.106
229,53686.289225,19.988,0.06
230,53693.288353,19.782,0.03
231,53693.289186,19.574,0.027
232,53693.29002,20.336,0.14
233,53693.290853,19.541,0.095
234,53693.291686,20.002,0.036
235,53698.285742,19.786,0.021
236,53698.286575,19.583,0.022
237,53698.287409,20.32,0.068
238,53698.288242,19.35,0.071
239,53698.289075,20.052,0.018
240,53704.271675,19.83,0.024
241,53704.272508,19.553,0.027
242,53704.273342,20.308,0.092
243,53704.274175,19.224,0.083
244,53704.275008,20.035,0.022
245,53989.367796,19.717,0.035
246,53989.36863,19.372,0.028
247,53989.369463,-99.0,0.099
248,53989.370296,19.396,0.075
249,53989.37113,19.813,0.036
250,53995.382363,19.607,0.017
251,53995.383196,19.376,0.018
252,53995.38403,20.213,0.042
253,53995.384863,19.303,0.048
254,53995.385696,19.825,0.023
255,54000.34328,19.65,0.019
256,54000.344113,19.423,0.02
257,54000.344946,-99.0,0.054
258,54000.34578,19.247,0.072
259,54000.346613,19.796,0.019
260,54007.393339,19.677,0.02
261,54007.394172,19.441,0.026
262,54007.395006,20.032,0.058
263,54007.395839,19.329,0.075
264,54007.396672,19.829,0.018
265,54009.317164,19.635,0.018
266,54009.317997,19.389,0.017
267,54009.318831,-99.0,0.049
268,54009.319664,19.47,0.062
269,54009.320497,19.832,0.015
270,54011.381591,19.634,0.016
271,54011.382424,19.392,0.018
272,54011.383258,-99.0,0.046
273,54011.384091,19.238,0.045
274,54011.384924,19.85,0.019
275,54025.380586,19.612,0.022
276,54025.381419,19.434,0.027
277,54025.382252,20.14,0.058
278,54025.383086,19.199,0.081
279,54025.383919,19.809,0.026
280,54029.310937,19.669,0.025
281,54029.31177,19.377,0.025
282,54029.312604,20.171,0.056
283,54029.313437,19.269,0.067
284,54029.31427,19.822,0.022
285,54348.378356,19.691,0.021
286,54348.379189,19.46,0.028
287,54348.380022,20.273,0.075
288,54348.380856,19.335,0.077
289,54348.381689,20.014,0.025
290,54358.33418,19.733,0.026
291,54358.335013,19.491,0.03
292,54358.335847,20.37,0.08
293,54358.33668,19.469,0.099
294,54358.337513,19.999,0.04
295,54359.32819,19.65,0.054
296,54359.329023,19.514,0.088
297,54359.329856,-99.0,0.221
298,54359.33069,-99.0,0.595
299,54359.331523,19.925,0.076
300,54365.367199,19.766,0.025
301,54365.368032,19.479,0.019
302,54365.368866,20.403,0.048
303,54365.369699,19.431,0.061
304,54365.370532,19.962,0.022
305,54381.386768,19.762,0.019
306,54381.387601,19.501,0.023
307,54381.388435,20.156,0.062
308,54381.389268,19.277,0.066
309,54381.390101,20.047,0.025
310,54384.393406,19.754,0.021
311,54384.394239,19.466,0.025
312,54384.395072,20.444,0.067
313,54384.395906,19.39,0.064
314,54384.396739,20.05,0.02
315,54386.379106,19.81,0.025
316,54386.379939,19.505,0.022
317,54386.380773,20.283,0.06
318,54386.381606,19.523,0.07
319,54386.382439,20.024,0.023
320,54388.383513,19.753,0.022
321,54388.384347,19.478,0.025
322,54388.38518,20.213,0.072
323,54388.386013,19.342,0.073
324,54388.386847,20.013,0.019
325,54392.380981,19.787,0.038
326,54392.381814,19.44,0.03
327,54392.382648,20.164,0.081
328,54392.383481,19.248,0.089
329,54392.384314,19.994,0.035
330,54403.297186,-99.0,0.032
331,54403.29802,19.475,0.038
332,54403.298853,-99.0,0.159
333,54403.299686,19.548,0.151
334,54403.30052,-99.0,0.054
335,54404.354806,19.755,0.026
336,54404.355639,19.469,0.023
337,54404.356473,-99.0,0.091
338,54404.357306,19.294,0.072
339,54404.358139,19.948,0.029
340,54405.352738,19.765,0.021
341,54405.353571,19.483,0.021
342,54405.354405,20.146,0.07
343,54405.355238,19.465,0.079
344,54405.356071,20.003,0.025
345,54406.29099,19.755,0.017
346,54406.291823,19.359,0.019
347,54406.292657,20.262,0.051
348,54406.29349,19.362,0.052
349,54406.294323,19.98,0.026
350,54412.316964,19.743,0.025
351,54412.317797,19.455,0.028
352,54412.31863,20.167,0.067
353,54412.319464,19.323,0.081
354,54412.320297,19.974,0.019
