Unnamed: 0,mjd,mag,magerr
0,51081.346954,20.201,0.029
1,51081.347787,19.969,0.032
2,51081.348621,20.202,0.057
3,51081.349454,19.79,0.102
4,51081.350287,20.155,0.023
5,51819.418148,20.182,0.026
6,51819.418981,19.933,0.028
7,51819.419815,20.38,0.065
8,51819.420648,19.908,0.103
9,51819.421481,20.228,0.024
10,52225.242751,20.111,0.024
11,52225.243584,19.934,0.029
12,52225.244418,20.348,0.056
13,52225.245251,20.003,0.107
14,52225.246084,20.143,0.019
15,52288.077172,20.2,0.026
16,52288.078005,19.931,0.027
17,52288.078839,20.326,0.054
18,52288.079672,19.953,0.095
19,52288.080505,20.286,0.022
20,52551.350466,20.212,0.03
21,52551.351299,20.059,0.035
22,52551.352133,-99.0,0.074
23,52551.352966,19.826,0.115
24,52551.353799,20.165,0.024
25,52558.383341,20.268,0.024
26,52558.384174,20.036,0.026
27,52558.385008,20.474,0.057
28,52558.385841,19.83,0.079
29,52558.386674,20.278,0.02
30,52576.216391,20.296,0.029
31,52576.217224,20.074,0.031
32,52576.218058,20.444,0.06
33,52576.218891,19.936,0.097
34,52576.219724,20.328,0.022
35,52577.270847,20.314,0.026
36,52577.27168,20.072,0.031
37,52577.272514,20.557,0.063
38,52577.273347,20.03,0.101
39,52577.27418,20.326,0.021
40,52585.217925,20.266,0.032
41,52585.218758,20.077,0.043
42,52585.219592,20.511,0.064
43,52585.220425,19.943,0.159
44,52585.221258,20.344,0.023
45,52910.354803,20.224,0.026
46,52910.355636,20.078,0.033
47,52910.35647,20.321,0.059
48,52910.357303,20.069,0.101
49,52910.358136,20.222,0.02
50,52935.281971,20.191,0.028
51,52935.282804,19.925,0.031
52,52935.283638,20.261,0.057
53,52935.284471,19.807,0.106
54,52935.285304,20.179,0.021
55,52963.205046,20.254,0.022
56,52963.205879,20.09,0.025
57,52963.206713,20.419,0.049
58,52963.207546,20.038,0.087
59,52963.208379,20.329,0.019
60,52971.195961,20.297,0.028
61,52971.196794,20.119,0.033
62,52971.197628,20.626,0.071
63,52971.198461,19.894,0.088
64,52971.199294,20.377,0.023
65,53351.127349,20.182,0.026
66,53351.128182,20.023,0.029
67,53351.129016,20.397,0.059
