Unnamed: 0,mjd,mag,magerr
0,51081.337959,17.092,0.005
1,51081.338792,15.717,0.003
2,51081.339626,21.15,0.119
3,51081.340459,15.009,0.004
4,51081.341292,18.556,0.009
5,51819.40911,17.088,0.005
6,51819.409943,15.716,0.004
7,51819.410777,21.191,0.12
8,51819.41161,14.997,0.005
9,51819.412443,18.504,0.009
10,52558.374375,17.091,0.006
11,52558.375208,15.718,0.005
12,52558.376042,21.324,0.112
13,52558.376875,15.006,0.005
14,52558.377708,18.517,0.008
15,52577.261879,17.106,0.005
16,52577.262712,15.733,0.004
17,52577.263546,21.391,0.123
18,52577.264379,15.01,0.005
19,52577.265212,18.527,0.008
20,52910.345836,17.098,0.005
21,52910.346669,15.735,0.004
22,52910.347503,21.329,0.114
23,52910.348336,15.013,0.005
24,52910.349169,18.539,0.008
25,52931.276039,17.103,0.005
26,52931.276872,15.726,0.004
27,52931.277706,21.289,0.113
28,52931.278539,15.013,0.005
29,52931.279372,18.496,0.008
30,52935.273003,17.096,0.005
31,52935.273836,15.725,0.004
32,52935.27467,21.421,0.142
33,52935.275503,15.01,0.005
34,52935.276336,18.522,0.008
35,52963.196077,17.099,0.006
36,52963.19691,15.728,0.005
37,52963.197744,21.243,0.086
38,52963.198577,15.001,0.005
39,52963.19941,18.521,0.008
40,53351.118379,17.098,0.005
41,53351.119212,15.72,0.003
42,53351.120046,21.232,0.107
43,53351.120879,15.011,0.005
44,53351.121712,18.521,0.008
45,53352.167144,17.101,0.005
46,53352.167977,15.721,0.004
47,53352.168811,21.556,0.147
48,53352.169644,15.003,0.005
49,53352.170477,18.543,0.008
50,53622.375438,17.09,0.006
51,53622.376271,15.721,0.006
52,53622.377105,20.901,0.118
53,53622.377938,15.008,0.006
54,53622.378771,18.491,0.01
55,53634.324909,17.092,0.006
56,53634.325742,15.74,0.004
57,53634.326576,21.05,0.323
58,53634.327409,15.004,0.005
59,53634.328242,18.537,0.017
60,53638.366244,17.112,0.005
61,53638.367077,15.721,0.005
62,53638.367911,21.474,0.17
63,53638.368744,15.002,0.005
64,53638.369577,18.528,0.009
65,53640.33028,17.092,0.005
66,53640.331113,15.729,0.004
67,53640.331947,21.181,0.139
68,53640.33278,15.02,0.005
69,53640.333613,18.565,0.009
70,53655.302452,17.114,0.005
71,53655.303285,15.728,0.004
72,53655.304119,21.177,0.135
73,53655.304952,14.999,0.005
74,53655.305785,18.533,0.009
75,53664.32741,17.09,0.009
76,53664.328243,15.73,0.005
77,53664.329077,20.643,0.301
78,53664.32991,15.015,0.006
79,53664.330743,18.528,0.02
80,53669.286652,17.098,0.005
81,53669.287485,15.721,0.004
82,53669.288319,21.298,0.112
83,53669.289152,15.014,0.005
84,53669.289985,18.528,0.008
85,53671.371417,17.093,0.005
86,53671.37225,15.729,0.004
87,53671.373084,21.486,0.264
88,53671.373917,14.983,0.005
89,53671.37475,18.494,0.009
90,53674.27089,17.107,0.005
91,53674.271723,-99.0,0.004
92,53674.272557,21.42,0.179
93,53674.27339,14.997,0.004
94,53674.274223,-99.0,0.009
95,53676.36036,17.09,0.005
96,53676.361193,15.729,0.005
97,53676.362027,21.228,0.158
98,53676.36286,15.017,0.005
99,53676.363693,18.48,0.009
100,53679.332255,17.093,0.005
101,53679.333088,15.719,0.003
102,53679.333922,21.727,0.273
103,53679.334755,15.01,0.005
104,53679.335588,18.512,0.009
105,53681.323768,17.093,0.006
106,53681.324601,15.727,0.005
107,53681.325435,21.383,0.143
108,53681.326268,15.011,0.005
109,53681.327101,18.533,0.009
110,53685.282822,17.089,0.006
111,53685.283655,15.728,0.004
112,53685.284489,21.272,0.254
113,53685.285322,15.015,0.005
114,53685.286155,18.512,0.013
115,53694.296701,17.084,0.006
116,53694.297534,15.728,0.003
117,53694.298368,22.705,2.166
118,53694.299201,14.981,0.005
119,53694.300034,18.526,0.02
120,53697.280792,17.091,0.006
121,53697.281625,15.727,0.004
122,53697.282459,21.157,0.173
123,53697.283292,14.987,0.005
124,53697.284125,18.528,0.011
125,53700.27975,17.097,0.007
126,53700.280583,15.715,0.006
127,53700.281417,21.008,0.143
128,53700.28225,15.017,0.007
129,53700.283083,18.513,0.01
130,53705.26642,17.096,0.005
131,53705.267253,15.711,0.004
132,53705.268087,21.201,0.124
133,53705.26892,15.006,0.005
134,53705.269753,18.509,0.008
135,53975.351435,17.036,0.018
136,53975.352268,15.74,0.016
137,53975.353102,21.282,0.118
138,53975.353935,15.01,0.014
139,53975.354768,18.512,0.022
140,53990.364243,17.047,0.013
141,53990.365077,15.68,0.017
142,53990.36591,21.389,0.241
143,53990.366743,15.034,0.017
144,53990.367577,-99.0,0.021
145,53994.374431,17.068,0.015
146,53994.375264,15.746,0.022
147,53994.376098,21.383,0.134
148,53994.376931,14.985,0.018
149,53994.377764,18.496,0.017
150,53996.358241,17.098,0.021
151,53996.359074,15.71,0.015
152,53996.359907,21.544,0.135
153,53996.360741,15.023,0.01
154,53996.361574,18.492,0.021
155,54010.312287,17.082,0.013
156,54010.313121,15.711,0.014
157,54010.313954,21.153,0.082
158,54010.314787,15.031,0.012
159,54010.315621,18.488,0.015
160,54012.305161,17.085,0.015
161,54012.305995,15.7,0.01
162,54012.306828,21.096,0.174
163,54012.307661,15.023,0.015
164,54012.308495,18.507,0.022
165,54020.311091,17.064,0.01
166,54020.311925,15.72,0.011
167,54020.312758,20.977,0.149
168,54020.313591,15.003,0.015
169,54020.314425,18.516,0.039
170,54024.392693,17.086,0.007
171,54024.393527,15.697,0.014
172,54024.39436,21.555,0.245
173,54024.395193,15.009,0.014
174,54024.396027,18.507,0.024
175,54028.381024,17.108,0.012
176,54028.381858,15.698,0.011
177,54028.382691,21.293,0.139
178,54028.383524,15.006,0.011
179,54028.384358,18.513,0.032
180,54030.304764,17.079,0.01
181,54030.305597,15.711,0.013
182,54030.30643,21.246,0.099
183,54030.307264,15.003,0.012
184,54030.308097,18.508,0.023
185,54035.380498,17.421,0.024
186,54035.381331,15.982,0.022
187,54035.382164,99.985,99.999
188,54035.382998,15.303,0.028
189,54035.383831,19.495,0.054
190,54037.285967,17.093,0.014
191,54037.2868,15.722,0.016
192,54037.287633,21.413,0.104
193,54037.288467,15.034,0.017
194,54037.2893,18.492,0.027
195,54040.300397,17.092,0.011
196,54040.30123,15.72,0.011
197,54040.302063,21.762,0.314
198,54040.302897,15.016,0.013
199,54040.30373,18.518,0.022
200,54049.326882,17.066,0.012
201,54049.327716,15.707,0.01
202,54049.328549,21.609,0.606
203,54049.329382,15.01,0.015
204,54049.330216,18.514,0.019
205,54053.291151,17.091,0.016
206,54053.291984,15.706,0.016
207,54053.292818,21.264,0.11
208,54053.293651,15.012,0.024
209,54053.294484,18.513,0.015
210,54056.292845,17.066,0.014
211,54056.293679,15.712,0.01
212,54056.294512,21.353,0.182
213,54056.295345,14.991,0.016
214,54056.296179,18.501,0.018
215,54059.287109,17.069,0.013
216,54059.287942,15.698,0.018
217,54059.288776,21.178,0.145
218,54059.289609,15.007,0.019
219,54059.290442,18.517,0.025
220,54061.298246,17.066,0.032
221,54061.29908,15.675,0.013
222,54061.299913,21.401,0.204
223,54061.300746,14.998,0.014
224,54061.30158,18.481,0.025
225,54062.292029,17.081,0.012
226,54062.292863,15.72,0.016
227,54062.293696,21.202,0.122
228,54062.294529,15.003,0.015
229,54062.295363,18.469,0.021
230,54068.272642,17.08,0.016
231,54068.273476,15.708,0.036
232,54068.274309,21.317,0.193
233,54068.275142,14.979,0.014
234,54068.275976,18.486,0.028
235,54357.3303,17.08,0.011
236,54357.331134,15.706,0.011
237,54357.331967,21.176,0.083
238,54357.3328,15.016,0.016
239,54357.333634,18.478,0.016
240,54359.362026,17.078,0.017
241,54359.362859,15.68,0.017
242,54359.363692,21.436,0.173
243,54359.364526,14.983,0.016
244,54359.365359,18.489,0.018
245,54362.380126,17.081,0.012
246,54362.38096,15.579,0.014
247,54362.381793,21.2,0.088
248,54362.382626,14.987,0.016
249,54362.38346,18.506,0.011
250,54376.375217,17.087,0.01
251,54376.37605,15.708,0.016
252,54376.376883,20.985,0.117
253,54376.377717,15.023,0.011
254,54376.37855,18.481,0.019
255,54382.36033,17.224,0.017
256,54382.361164,15.921,0.019
257,54382.361997,22.306,0.293
258,54382.36283,15.143,0.016
259,54382.363664,18.731,0.037
260,54385.378167,17.097,0.016
261,54385.379001,15.71,0.013
262,54385.379834,21.082,0.089
263,54385.380667,15.021,0.014
264,54385.381501,18.495,0.019
265,54387.378681,-99.0,0.05
266,54387.379514,15.719,0.027
267,54387.380347,21.239,0.219
268,54387.381181,15.012,0.028
269,54387.382014,18.502,0.022
270,54390.371046,-99.0,0.022
271,54390.371879,-99.0,0.186
272,54390.372712,21.603,0.223
273,54390.373546,15.056,0.022
274,54390.374379,18.517,0.012
275,54391.379509,17.082,0.01
276,54391.380342,15.709,0.016
277,54391.381175,21.691,0.322
278,54391.382009,15.001,0.014
279,54391.382842,18.551,0.02
280,54402.371824,17.101,0.02
281,54402.372658,15.713,0.014
282,54402.373491,20.914,0.316
283,54402.374324,15.024,0.016
284,54402.375158,18.492,0.025
